Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[12]	[[-0.9999999999999929, 115.0]]	[-187.61340000000004, 461.8134]	0.5219520481299509	0.8491762687903929	1	554.0591364453275	49977	0	0.07692307692307693	570.2902242914554	27415	28082	822	842	1	0.5171604894822892	143.90933333333328	0.5219520481299509	0.5219520481299509	0.27243394054705056	1
[12, 11]	[[152.0, 216.0], [3.4487, 5.291300000000001]]	[665.5928, 941.1072]	0.9471812088069499	0.6848297221488242	1	621.9537877010101	49930	0	0.15384615384615385	635.4422346262627	3105	4239	94	128	1	0.9418437300664978	85.03999999999999	0.9471812088069499	0.9471812088069499	0.8971522423169949	1
[2, 12]	mul(X2, X12)	None	0.6542906205921065	0.6514389113599865	1	610.3666882986477	49984	864	13.0	641.6516064363566	17708	49136	1073	1500	1	0.6480967550726906	323.0	0.6542906205921065	0.6542906205921065	0.42809621619480387	1
[12]	max(max(sin(-4), X12), div(4, 0))	None	0.6414597005039164	0.6472507977804427	1	610.3666882986477	49917	952	13.0	641.6516064363566	17244	49048	1071	1500	1	0.6353816027775625	321.0	0.6414597005039164	0.6414597005039164	0.41147054737057415	1
[11]	[[-0.31230000000000013, 1.0323000000000002]]	[-86.2672, 189.24720000000002]	0.9988799195813414	0.9395933818679353	1	617.5635237495471	49965	996	0.07692307692307693	605.0086029041677	9478	9543	290	292	1	0.9898687660381562	154.70666666666668	0.9988799195813414	0.9988799195813414	0.997761093742827	1
[9, 11, 12]	mul(X11, add(X9, X12))	None	1.0	0.945186616259138	1	610.3666882986477	49984	1579	13.0	641.6516064363566	34975	48421	1490	1500	1	0.990209695665091	740.0	1.0	1.0	1.0	1
[12, 11]	[[112.0, 204.0], [3.0853999999999995, 0.518]]	[261.9668, 882.6463]	1.0	1.0	1	342.36688431525596	1622	1622	0.15384615384615385	342.36688431525596	1	1	1	1	1	1.0	1	1.0	1.0	1.0	1
[11, 12]	mul(X11, X12)	None	0.9986880576967194	0.9397254957756593	5	610.3666882986477	49984	1860	13.0	3208.258032181783	33556	48140	1486	1500	1	0.9889145790250301	736.0	0.9986880576967194	0.9986880576967194	0.997377836586046	1
[12, 11]	[[76.0, 178.0], [-0.47800000000000004, 2.2834000000000003]]	[-164.595, 327.395]	0.9396851389984564	0.8798437776701826	2	677.9647575524398	49977	2211	0.15384615384615385	1360.4059909206535	10357	10869	325	341	1	0.9334389472640833	97.21199999999999	0.9396851389984564	0.9396851389984564	0.8830081604545483	1
[11, 12]	mul(X11, max(X12, X11))	None	0.9978291068692805	0.9363191054018714	3	610.3666882986477	49984	2513	13.0	1924.9548193090698	32905	47487	1480	1500	1	0.9880710882004742	730.0	0.9978291068692805	0.9978291068692805	0.995662926515546	1
[11, 12]	mul(X11, add(X11, X12))	None	0.9984082581358592	0.9386463613759088	3	610.3666882986477	49984	2696	13.0	1924.9548193090698	34489	47304	1476	1500	1	0.9886503900478266	726.0	0.9984082581358592	0.9984082581358592	0.9968190499138805	1
[11, 12]	mul(X11, max(X12, X12))	None	0.996941291101055	0.9329122136628794	3	610.3666882986477	49984	2747	13.0	1924.9548193090698	32674	47253	1474	1500	1	0.9871989869573169	724.0	0.996941291101055	0.996941291101055	0.9938919379022385	1
[8, 11, 12]	mul(X11, add(X8, max(X12, X11)))	None	0.9938078834741972	0.9216989640710853	4	610.3666882986477	49967	2948	13.0	2566.6064257454263	32076	47052	1457	1500	1	0.984115552531781	707.0	0.9938078834741972	0.9938078834741972	0.9876541092554636	1
[11, 12]	mul(X12, X11)	None	0.9957150545913348	0.9283837679627636	4	610.3666882986477	49984	3291	13.0	2566.6064257454263	32138	46709	1466	1500	1	0.9859940777422607	716.0	0.9957150545913348	0.9957150545913348	0.9914484699398248	1
[3, 11, 12]	mul(min(X11, X3), max(X12, X11))	None	0.9912001803869545	0.9132199163939645	2	610.3666882986477	49984	3779	13.0	1283.3032128727132	31142	46221	1442	1500	1	0.981550558465237	692.0	0.9912001803869545	0.9912001803869545	0.982477797599131	1
[8, 11, 12]	mul(X11, add(X8, X12))	None	0.989822845359223	0.9090039092935496	3	610.3666882986477	49967	3920	13.0	1924.9548193090698	31156	46080	1435	1500	1	0.980194568732803	685.0	0.989822845359223	0.989822845359223	0.9797492651950284	1
[11, 12]	mul(min(X12, X11), X12)	None	0.9925256868051348	0.9174541216962405	2	610.3666882986477	49984	4532	13.0	1283.3032128727132	30920	45468	1447	1500	1	0.9828578052762931	697.0	0.9925256868051348	0.9925256868051348	0.9851072389680045	1
[3, 2, 11, 12]	mul(min(X11, X3), max(div(X2, X3), X12))	None	0.9872930429528517	0.9016818335788551	1	610.3666882986477	49984	5114	13.0	641.6516064363566	29859	44886	1422	1500	1	0.9777041597634377	672.0	0.9872930429528517	0.9872930429528517	0.9747475526631014	1
[2, 11, 12]	mul(X11, add(2, add(X2, X12)))	None	0.9864866551206515	0.8994959043883006	4	610.3666882986477	49984	7459	13.0	2566.6064257454263	30510	42541	1406	1500	1	0.9769259118468081	656.0	0.9864866551206515	0.9864866551206515	0.9731559207311312	1
[11, 12]	[[-0.47800000000000004, 1.9605000000000001], [76.0, 178.0]]	[-48.58530000000002, 413.88530000000003]	0.9068876177174546	0.8996585975810749	2	646.8731170653126	49940	9364	0.15384615384615385	1303.8492044204718	7486	7486	276	276	1	0.9027027989480167	64.39999999999998	0.9068876177174546	0.9068876177174546	0.8224451511692401	1
[0, 11, 12]	max(mul(X11, max(max(max(min(X0, X12), X12), X12), X12)), 0)	None	0.928470951464264	0.8024267295405731	1	610.3666882986477	49984	10863	13.0	641.6516064363566	25069	39137	1250	1500	1	0.9196268098455982	500.0	0.928470951464264	0.928470951464264	0.8620583077129556	1
