Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[9, 12, 5]	max(cos(X5), add(X9, X12))	None	0.9904220793731685	0.9100761080487009	1	812.7575899005767	49748	0	13.0	811.2148216997191	13381	50000	1500	1500	1	0.9805446815116067	750.0	0.9904220793731685	0.9904220793731685	0.9809358953098709	1
[12]	[[173.0, 533.0]]	[221.18449999999996, 628.8155]	0.8643176790899864	0.8200004432214301	1	811.6607036734391	49991	0	0.07692307692307693	810.1758712455708	30801	32265	925	969	1	0.8642786330654589	309.3620000000001	0.8643176790899864	0.8643176790899864	0.7470450503875007	1
[12, 11, 8]	[[115.0, 335.0], [50.19485, 83.16515000000001], [12.65, 33.35]]	[183.94895, 399.41105000000005]	0.968437848632559	0.8595426238393193	1	841.0594137026635	49967	0	0.23076923076923078	841.0594137026635	3614	3813	108	114	1	0.9684304542912826	59.74	0.968437848632559	0.968437848632559	0.9378718666640592	1
[12]	[[162.5, 487.5]]	[173.67284999999998, 587.12715]	0.7825829299442151	0.8482196079196254	1	811.8306680679447	49991	0	0.07692307692307693	810.9863246342882	32233	32366	968	972	1	0.7825518822378864	246.12799999999993	0.7825829299442151	0.7825829299442151	0.6124360422400722	1
[12, 11]	[[-30.0, 170.0], [14.412500000000001, 64.3675]]	[-9.987650000000016, 228.76765]	0.9889761877022087	0.9256241095695427	1	830.5489685108557	49867	0	0.15384615384615385	832.4362106385697	9205	9205	277	277	1	0.9889546509645051	171.37066666666666	0.9889761877022087	0.9889761877022087	0.9780738998419944	1
[12, 11]	[[38.5, 313.5], [50.01295, 100.96705]]	[132.11235, 370.86765]	0.8908704009152779	0.7669811556396484	1	826.6366279300393	49967	0	0.15384615384615385	834.295784912549	11291	13222	338	396	1	0.8908520187998593	146.336	0.8908704009152779	0.8908704009152779	0.793650071226948	1
[12]	[[162.5, 487.5]]	[202.25955, 587.12715]	0.827506568213301	0.8252323316982066	1	811.8306680679447	49991	190	0.07692307692307693	810.9863246342882	31079	32241	936	971	1	0.8274714505715288	278.30933333333337	0.827506568213301	0.827506568213301	0.6847671204361546	1
[12]	[[309.0, 539.0]]	[371.49574999999993, 685.4422]	0.9552674473509214	0.8056838124446469	3	801.3643177504856	49991	298	0.07692307692307693	2409.301155399064	16298	18580	492	561	1	0.9552297289338373	299.016	0.9552674473509214	0.9552674473509214	0.9125358959683454	1
[12]	[[94.5, 420.0]]	[163.97739999999996, 420.20259999999996]	0.6985335871980856	0.6732367688055236	1	817.8983618804845	49967	327	0.07692307692307693	822.3542247027757	24717	32694	746	987	1	0.6985024671858895	246.57799999999997	0.6985335871980856	0.6985335871980856	0.4879491724438254	1
[12]	[[295.0, 50.0]]	[383.09885, 563.6211500000001]	1.0	1.0	1	480.7237715667321	361	361	0.07692307692307693	480.7237715667321	1	1	1	1	1	1.0	1	1.0	1.0	1.0	1
[8, 9, 12]	add(X8, sub(X12, mul(1, X9)))	None	0.9915542057386527	0.9427279377672454	1	812.7575899005767	49804	400	13.0	811.2148216997191	18442	49600	1499	1500	1	0.9896351528892984	749.0	0.9915542057386527	0.9915542057386527	0.9831797429180105	1
[12, 8, 6, 9, 4]	[[117.5, 362.5], [12.8, 27.2], [5.6776125, 8.1751875], [2.9924149999999994, 0.5033000000000001], [114.554, 20.080000000000005]]	[117.31759999999997, 443.42240000000004]	1.0	1.0	1	407.2	445	445	0.38461538461538464	407.2	1	1	1	1	1	1.0	1	1.0	1.0	1.0	1
[11, 12]	add(sin(X11), sub(X12, 1))	None	0.9816433573036584	0.9014058897981678	2	812.7575899005767	49603	452	13.0	1622.4296433994382	11477	49548	1499	1500	1	0.9776068189354975	749.0	0.9816433573036584	0.9816433573036584	0.9636236809383979	1
[12]	[[-50.0, 142.5]]	[17.51399999999998, 250.446]	0.987147006769129	0.9208187288485401	1	826.9667426159712	49867	572	0.07692307692307693	827.958428269964	14070	14235	427	432	1	0.9871156667750023	248.72799999999998	0.987147006769129	0.987147006769129	0.9744592129732509	1
[12]	max(X12, X12)	None	0.9823205624290556	0.9037601131088329	6	812.7575899005767	49748	591	13.0	4867.288930198314	11819	49409	1499	1500	1	0.9784290182458869	749.0	0.9823205624290556	0.9823205624290556	0.9649536873709362	1
[12]	[[-50.0, 214.0]]	[-15.376200000000011, 147.67620000000002]	0.6332024002048872	0.437758151022136	1	831.8940644246004	49867	616	0.07692307692307693	834.1175805307505	10107	21761	307	661	1	0.6331807551082523	171.71533333333335	0.6332024002048872	0.6332024002048872	0.4009452796252301	1
[12]	[[52.0, 268.5]]	[11.512749999999983, 390.02725000000004]	0.9487147776195252	0.9009546626136692	1	848.4598519636963	49967	788	0.07692307692307693	844.6560186932757	21621	21621	659	659	1	0.9486889505909772	205.1686666666667	0.9487147776195252	0.9487147776195252	0.9000597292736651	1
[9, 11, 12]	max(cos(div(X9, X11)), X12)	None	0.981849082319807	0.9026208621686443	1	812.7575899005767	49748	951	13.0	811.2148216997191	11459	49049	1497	1500	1	0.9780334732121045	747.0	0.981849082319807	0.981849082319807	0.9640276204522472	1
[12]	[[162.5, 487.5]]	[163.97739999999996, 587.12715]	0.7406215874960945	0.8513906662434226	1	811.8306680679447	49991	1005	0.07692307692307693	810.9863246342882	31715	31715	971	971	1	0.7405926008654469	229.8033333333334	0.7406215874960945	0.7406215874960945	0.5485203358652352	1
[11, 12]	max(X12, add(X11, X12))	None	0.9998974325940707	0.9984840554324868	9	812.7575899005767	49991	1263	13.0	8112.148216997191	48736	48737	1499	1500	1	0.9997941683218132	749.0	0.9998974325940707	0.9998974325940707	0.9997948757082142	1
[12]	[[286.0, 50.0]]	[429.2074, 685.4326000000001]	1.0	1.0	1	354.8357170265331	1534	1534	0.07692307692307693	354.8357170265331	1	1	1	1	1	1.0	1	1.0	1.0	1.0	1
[12]	X12	None	0.9532814266527814	0.8483683478440062	5	812.7575899005767	49748	1611	13.0	4056.0741084985957	10799	48389	1401	1500	1	0.9531991035403541	651.0	0.9532814266527814	0.9532814266527814	0.9087454784011622	1
[12]	[[162.5, 489.0]]	[264.77245, 538.4675500000001]	0.7344344577397559	0.6961028469113548	2	811.8306680679447	49991	1620	0.07692307692307693	1621.9726492685763	24703	31411	766	974	1	0.7344017042104264	259.52	0.7344344577397559	0.7344344577397559	0.5393939727154893	1
[12]	[[109.5, 487.5]]	[202.25955, 587.12715]	0.40869268492535377	0.7325040696836103	1	812.0711586910904	49991	1629	0.07692307692307693	812.133073287441	31633	36664	981	1137	1	0.4086660369761228	210.87199999999996	0.40869268492535377	0.40869268492535377	0.16702971071149447	1
[8, 11, 12]	max(sub(X12, X8), add(X11, X12))	None	0.9998974065693017	0.9984838493637628	3	812.7575899005767	49991	1720	13.0	2433.644465099157	48279	48280	1499	1500	1	0.9997941401324866	749.0	0.9998974065693017	0.9998974065693017	0.9997948236640154	1
[12]	min(max(X12, X12), X12)	None	0.9412848145405049	0.8296369183567165	1	812.7575899005767	49748	1777	13.0	811.2148216997191	10633	48223	1367	1500	1	0.9412067978160604	617.0	0.9412848145405049	0.9412848145405049	0.8860171020845528	1
[12, 6]	max(cos(min(X6, -1)), X12)	None	0.9388342052522574	0.8261819472349584	2	812.7575899005767	49748	1799	13.0	1622.4296433994382	10611	48201	1361	1500	1	0.9387569484179901	611.0	0.9388342052522574	0.9388342052522574	0.8814096649516378	1
[11, 12]	max(X11, X12)	None	0.9577086788981858	0.8562128117504967	3	812.7575899005767	49748	1803	13.0	2433.644465099157	12038	48197	1388	1500	1	0.9576280039847052	638.0	0.9577086788981858	0.9577086788981858	0.9172059136369083	1
[12]	sub(X12, 1)	None	0.9230963954945868	0.8062842603563843	2	812.7575899005767	49603	1845	13.0	1622.4296433994382	10082	48155	1332	1500	1	0.9230228107550351	582.0	0.9230963954945868	0.9230963954945868	0.8521069553750985	1
[11, 12]	add(X11, sub(X12, 1))	None	0.999679037643762	0.9967693461324907	3	812.7575899005767	49991	2111	13.0	2433.644465099157	47888	47889	1499	1500	1	0.9995576088124449	749.0	0.999679037643762	0.999679037643762	0.9993581783043581	1
[8, 12]	max(add(X8, X12), X12)	None	0.9846530293478689	0.9232522109456837	1	812.7575899005767	49786	2234	13.0	811.2148216997191	17035	47766	1462	1500	1	0.9845629818592427	712.0	0.9846530293478689	0.9846530293478689	0.9695415882039352	1
[12, 11]	[[245.0, 405.0], [52.38925, 10.030999999999999]]	[290.48235, 529.23765]	1.0	1.0	1	319.6019220694594	2529	2529	0.15384615384615385	319.6019220694594	1	1	1	1	1	1.0	1	1.0	1.0	1.0	1
[12, 8, 6, 9]	[[216.5, 50.0], [9.8, 42.2], [-0.99583, 1.7695420000000002], [2.4165200000000002, 0.5033000000000001]]	[295.72080000000005, 575.2392]	1.0	1.0	1	325.5559549723731	2602	2602	0.3076923076923077	325.5559549723731	1	1	1	1	1	1.0	1	1.0	1.0	1.0	1
[8, 11, 12]	max(X12, add(X8, X11))	None	0.784203140645802	0.7058761755934491	1	812.7575899005767	49748	3321	13.0	811.2148216997191	11554	46679	1120	1500	1	0.7841563958497957	370.0	0.784203140645802	0.784203140645802	0.6149745657987395	1
[12]	[[-50.0, 263.0]]	[27.387199999999993, 213.7328]	0.7384672498311099	0.5831086327753496	1	839.4220025940475	49903	3340	0.07692307692307693	834.292973816499	15767	25073	507	806	1	0.738437658510862	234.572	0.7384672498311099	0.7384672498311099	0.5453338790731229	1
[8, 12]	add(X8, sub(X12, mul(1, 1)))	None	0.9679536179184264	0.8769615624588576	1	812.7575899005767	49786	3458	13.0	811.2148216997191	15650	46542	1384	1500	1	0.9678734517580144	634.0	0.9679536179184264	0.9679536179184264	0.9369342064413709	1
[12, 11, 8, 9, 7, 0, 10, 3, 1]	[[186.0, 476.0], [15.613749999999996, 90.54625], [27.200000000000003, 48.8], [0.5365549999999999, 4.181445], [4.088825, 0.5005000000000001], [0.7372049999999999, 0.1009], [0.6090123074850001, 2.056981178515], [-6.5, 58.5], [330.3759999999999, 79.95400000000002]]	[299.64215, 468.51784999999995]	1.0	1.0	1	303.75	3469	3469	0.6923076923076923	303.75	1	1	1	1	1	1.0	1	1.0	1.0	1.0	1
[12, 11]	[[-50.0, 282.0], [5.6469999999999985, 65.59299999999999]]	[57.47584999999998, 289.606]	0.9091494185149165	0.7737509815054651	1	840.2726761497217	49903	3598	0.15384615384615385	839.3635564839401	13668	15958	442	516	1	0.9091235205094241	205.672	0.9091494185149165	0.9091494185149165	0.8265526651860108	1
[12, 9]	[[217.0, 427.0], [2.72647, 4.82353]]	[195.83079999999998, 475.3492]	0.9399211788505948	0.8427161313316579	1	823.3878844850071	49948	3730	0.15384615384615385	814.984855606259	7773	8299	252	269	1	0.9399079369896742	105.84333333333333	0.9399211788505948	0.9399211788505948	0.8834518224518918	1
[11, 12]	max(cos(X11), add(X11, X12))	None	0.9998974109067673	0.9984838837085501	3	812.7575899005767	49991	3951	13.0	2433.644465099157	46048	46049	1499	1500	1	0.999794144830712	749.0	0.9998974109067673	0.9998974109067673	0.9997948323380567	1
[12]	sub(X12, mul(1, 1))	None	0.33379347683012256	0.5684096417266269	1	812.7575899005767	49603	4085	13.0	811.2148216997191	8225	45915	916	1500	1	0.33377250156110655	166.0	0.33379347683012256	0.33379347683012256	0.11141808517434157	1
[11, 12]	max(X11, add(X11, X12))	None	0.9998974065693017	0.9984838493637628	7	812.7575899005767	49991	4156	13.0	5678.503751898033	45843	45844	1499	1500	1	0.9997941401324866	749.0	0.9998974065693017	0.9998974065693017	0.9997948236640154	1
[12]	[[163.5, 318.5]]	[264.77245, 420.20259999999996]	0.8213050445630738	0.6169025210347265	1	836.5421704054758	49967	4423	0.07692307692307693	837.1058015731948	9431	14349	310	472	1	0.8212839734185344	167.45600000000002	0.8213050445630738	0.8213050445630738	0.6745419762247528	1
[12]	[[309.0, 539.0]]	[265.79769999999996, 685.4422]	0.9722431331396089	0.9002461792725045	1	801.3643177504856	49991	4537	0.07692307692307693	803.1003851330214	16985	16985	561	561	1	0.9722118875053919	247.962	0.9722431331396089	0.9722431331396089	0.9452567099371232	1
[11, 12]	sub(add(X12, X11), 3)	None	0.9992309234966924	0.9933392635332772	2	812.7575899005767	49948	4702	13.0	1622.4296433994382	42285	45298	1499	1500	1	0.9990722236759211	749.0	0.9992309234966924	0.9992309234966924	0.9984624384720527	1
[12]	[[162.5, 539.0]]	[265.15555, 685.4422]	0.7460612512075655	0.7249227669037193	2	811.8306680678763	49991	4856	0.07692307692307693	1621.9726492679251	25227	30313	838	1007	1	0.7460264845644922	275.4226666666667	0.7460612512075655	0.7460612512075655	0.5566073905533981	1
[11, 12]	max(1, add(X11, X12))	None	0.9998974412689821	0.9984841241220613	2	812.7575899005767	49991	4952	13.0	1622.4296433994382	45047	45048	1499	1500	1	0.9997941777182429	749.0	0.9998974412689821	0.9998974412689821	0.9997948930562575	1
[12, 11]	[[295.0, 50.0], [44.26969999999999, 10.030999999999999]]	[381.6575, 672.8225]	1.0	1.0	1	388.6339621087686	4962	4962	0.15384615384615385	388.6339621087686	1	1	1	1	1	1.0	1	1.0	1.0	1.0	1
[12, 6]	[[-50.0, 154.0], [-0.9389414999999999, 5.155141499999999]]	[49.65915000000001, 328.6388]	0.9472659413881491	0.8524385892423016	1	832.7033204162424	49766	5239	0.15384615384615385	835.129150520303	6952	7311	233	245	1	0.9472534354313323	100.04666666666668	0.9472659413881491	0.9472659413881491	0.8973127637139764	1
[8, 11, 12]	add(X8, sub(X12, div(X11, X11)))	None	0.9109914875668731	0.7931210138581213	1	812.7575899005767	49786	5330	13.0	811.2148216997191	13938	44670	1243	1500	1	0.9109291789396519	493.0	0.9109914875668731	0.9109914875668731	0.8299054904193043	1
[8, 11, 12]	max(max(X11, add(X8, X12)), add(X11, X12))	None	0.9976310892314522	0.983202101900984	1	812.7575899005767	49967	5451	13.0	811.2148216997191	38137	44549	1486	1500	1	0.9975380027594649	736.0	0.9976310892314522	0.9976310892314522	0.9952677902011337	1
[12]	[[-38.5, 266.5]]	[132.11235, 316.17085]	0.710532796686288	0.5894866441238835	1	839.5078230173375	49967	5619	0.07692307692307693	834.4605918307374	15537	24363	525	823	1	0.7105050543237795	219.94133333333338	0.710532796686288	0.710532796686288	0.5048568551668379	1
[11, 12, 6]	max(X6, add(X11, X12))	None	0.999981231518937	0.9991497718933708	3	812.7575899005767	49991	5637	13.0	2433.644465099157	44362	44363	1499	1500	1	0.9998849370530679	749.0	0.999981231518937	0.999981231518937	0.99996246339013	1
[11, 12]	max(X12, add(X11, sub(X12, 1)))	None	0.9996818062609841	0.9967909032106652	4	812.7575899005767	49991	5637	13.0	3244.8592867988764	44362	44363	1499	1500	1	0.9995606077038148	749.0	0.9996818062609841	0.9996818062609841	0.9993637137692238	1
[12, 4, 0]	[[217.0, 427.0], [-6.339999999999996, 113.53999999999999], [0.18228499999999997, 0.7517150000000001]]	[195.83079999999998, 475.3492]	0.945457455354445	0.8501159311800555	1	825.2225549481682	49924	5745	0.23076923076923078	818.2781936852102	5431	5786	184	196	1	0.9454478053966632	77.50666666666666	0.945457455354445	0.945457455354445	0.8938897998853024	1
[12]	[[173.0, 533.0]]	[178.10574999999997, 628.8155]	0.8145353607972989	0.8519650205525877	1	811.6607036734391	49991	5828	0.07692307692307693	810.1758712455708	28509	28509	968	968	1	0.8145028793311689	257.48800000000006	0.8145353607972989	0.8145353607972989	0.663467853989186	1
[12]	[[180.0, 420.0]]	[163.97739999999996, 420.20259999999996]	0.7759852360924232	0.7054861992360378	1	816.8150407560855	49967	5847	0.07692307692307693	818.2216825717375	16349	20998	555	713	1	0.7759607648508471	194.22199999999998	0.7759852360924232	0.7759852360924232	0.6021530866334138	1
[8, 11, 12]	max(add(X11, X12), max(1, add(X8, X12)))	None	0.997334280165983	0.9813549591010823	2	812.7575899005767	49967	5984	13.0	1622.4296433994382	37605	44016	1483	1500	1	0.9972415738078907	733.0	0.997334280165983	0.997334280165983	0.9946756663941995	1
[12, 11]	[[173.0, 50.0], [79.64394999999999, 10.030999999999999]]	[221.18449999999996, 628.8155]	1.0	1.0	1	418.1635420909103	6036	6036	0.15384615384615385	418.1635420909103	1	1	1	1	1	1.0	1	1.0	1.0	1.0	1
[11, 12]	add(X11, X12)	None	0.9998974181358724	0.9984839409498624	3	812.7575899005767	49991	6282	13.0	2433.644465099157	43717	43718	1499	1500	1	0.9997941526610834	749.0	0.9998974181358724	0.9998974181358724	0.9997948467947837	1
[8, 11, 12]	max(add(X11, X12), X8)	None	0.9999566187654542	0.9989537890886611	2	812.7575899005767	49991	6513	13.0	1622.4296433994382	43309	43487	1499	1500	1	0.9998582771835064	749.0	0.9999566187654542	0.9999566187654542	0.9999132394128398	1
[11, 12]	max(add(X11, X12), X12)	None	0.9998973704237021	0.9984835631572018	6	812.7575899005767	49991	6591	13.0	4867.288930198314	43408	43409	1499	1500	1	0.9997941009805498	749.0	0.9998973704237021	0.9998973704237021	0.9997947513802341	1
[12, 0]	[[309.0, 539.0], [-0.0989, 0.528665]]	[245.01594999999998, 685.4422]	0.9626396868600943	0.890152715319356	1	798.9821553937347	49948	6716	0.15384615384615385	799.4776942421684	8711	8711	302	302	1	0.9626241965927476	123.61866666666666	0.9626396868600943	0.9626396868600943	0.9266751667181004	1
