Epoch	Explore_Iteration	MacroPopSize	MicroPopSize	Accuracy_Estimate	RuleCount	TreeCount	AveGenerality	ExpRules	Time(min)
1	100	994	1000	0.9292885844608785	508	486	0.6801538461538463	0.0	0.7954080025355021
2	200	988	1000	0.9107075215376804	524	464	0.68376923076923	0.0	1.548461902141571
3	300	978	1000	0.9152747234534354	535	443	0.6855384615384605	0.0	2.240582052866618
4	400	972	1000	0.926431888728203	548	424	0.6871538461538444	0.0	2.867027699947357
5	500	962	1000	0.8452890945875875	556	406	0.6881538461538447	0.0	3.5327258189519246
6	600	956	1000	0.8817880566404862	568	388	0.6895384615384594	0.0	4.113632150491079
7	700	945	1000	0.8774727334160106	575	370	0.6897692307692284	0.0	4.640104885896047
8	800	937	1000	0.7194635775737312	585	352	0.6909999999999973	0.0	5.099230051040649
9	900	930	1000	0.8737186649407477	594	336	0.6911538461538428	0.0	5.577272899945577
10	1000	919	1000	0.8265905186762064	598	321	0.69107692307692	0.0	6.089566934108734
11	1100	912	1000	0.8880003731797127	605	307	0.6923076923076893	0.0	6.556280088424683
12	1200	901	1000	0.7841790424495637	612	289	0.6933076923076888	0.0	7.002902070681254
13	1300	891	1000	0.8539989329846032	621	270	0.6936923076923044	0.0	7.450111405054728
14	1400	879	1000	0.8053237622187386	629	250	0.6945384615384583	0.0	7.89072181781133
15	1500	870	1000	0.8427457846864244	637	233	0.6950769230769198	0.0	8.259001032511394
16	1600	855	1000	0.8585898611909983	643	212	0.694999999999997	0.7953216374269005	8.385651234785716
17	1700	848	1000	0.8655573777058361	652	196	0.6957692307692276	0.7936320754716981	8.523278550306957
18	1800	834	1000	0.8493442721398367	657	177	0.6970769230769195	0.7913669064748201	8.670659716924032
19	1900	826	1000	0.669479941653062	665	161	0.6967692307692273	0.7941888619854721	8.81634004910787
20	2000	817	1000	0.7377933435455353	674	143	0.6981538461538426	0.791921664626683	8.93330088853836
21	2100	808	1000	0.8475692519208035	678	130	0.6989230769230734	0.7982673267326733	9.029409750302632
22	2200	801	1000	0.7320184233479893	683	118	0.6989999999999968	0.8002496878901373	9.12157750527064
23	2300	795	1000	0.858707699000498	683	112	0.6999999999999966	0.7987421383647799	9.209788354237874
24	2400	789	1000	0.8332339139413721	684	105	0.7002307692307661	0.8022813688212928	9.292961899439494
25	2500	782	1000	0.7380576465024866	683	99	0.7023846153846124	0.80306905370844	9.377873118718465
26	2600	779	1000	0.8776311537399415	682	97	0.7055384615384585	0.7997432605905006	9.493442038695017
27	2700	777	1000	0.6226491370181396	679	98	0.7079999999999969	0.797940797940798	9.593854252497355
28	2800	772	1000	0.8817719761321556	673	99	0.7082307692307659	0.8018134715025906	9.686860005060831
29	2900	771	1000	0.8290849358138048	669	102	0.7094615384615353	0.8106355382619974	9.7709752202034
30	3000	762	1000	0.9216389369724939	655	107	0.7126153846153814	0.8110236220472441	9.85718361934026
31	3100	754	1000	0.6469112266590262	649	105	0.7142307692307664	0.8183023872679045	9.959334687391918
32	3200	750	1000	0.7993143930735641	643	107	0.718153846153843	0.824	10.055006885528565
33	3300	753	1000	0.787833390834269	642	111	0.7193846153846121	0.8154050464807437	10.13770070473353
34	3400	748	1000	0.9255909523542458	635	113	0.7227692307692268	0.8128342245989305	10.220121983687083
35	3500	741	1000	0.7719398770430485	624	117	0.7243846153846115	0.815114709851552	10.308626433213552
36	3600	742	1000	0.7925929407085032	625	117	0.7253846153846116	0.8140161725067385	10.411545085906983
37	3700	733	1000	0.8731928388558836	617	116	0.726538461538458	0.8212824010914052	10.488168104489644
38	3800	726	1000	0.8833808931357264	611	115	0.7295384615384581	0.8154269972451791	10.565953103701274
39	3900	718	1000	0.8345052903128094	602	116	0.7329230769230732	0.8203342618384402	10.640045666694641
40	4000	716	1000	0.8388515838100788	600	116	0.7353076923076884	0.8212290502793296	10.713516052563985
41	4100	716	1000	0.8496470997900039	596	120	0.7385384615384574	0.8226256983240223	10.789341235160828
42	4200	716	1000	0.8918503778705887	595	121	0.7403846153846112	0.8156424581005587	10.860426918665569
43	4300	708	1000	0.9039360390873381	590	118	0.7426923076923038	0.8234463276836158	10.93763610124588
44	4400	710	1000	0.8884029599579614	588	122	0.7438461538461496	0.8211267605633803	11.016640718777975
45	4500	701	1000	0.7640368735602101	579	122	0.744999999999996	0.8302425106990015	11.087361200650532
46	4600	705	1000	0.8341859401923492	583	122	0.7483076923076881	0.8184397163120567	11.159010605017345
47	4700	705	1000	0.8251764080487912	577	128	0.750153846153842	0.8127659574468085	11.231274302800497
48	4800	702	1000	0.9334205001237785	574	128	0.7529230769230734	0.8133903133903134	11.304568088054657
49	4900	703	1000	0.8602134769277276	571	132	0.7549999999999962	0.8065433854907539	11.376883900165558
50	5000	702	1000	0.8239619061729505	567	135	0.7563076923076885	0.811965811965812	11.450848404566447
51	5100	698	1000	0.701022036053065	564	134	0.7584615384615347	0.8108882521489972	11.525808386007945
52	5200	699	1000	0.8930087579948875	561	138	0.758769230769227	0.8068669527896996	11.604208036263783
53	5300	704	1000	0.5342824491223287	565	139	0.7588461538461497	0.8082386363636364	11.6815465370814
54	5400	705	1000	0.8830667098540278	566	139	0.7598461538461498	0.7957446808510639	11.757890868186951
55	5500	705	1000	0.86152841232138	566	139	0.7602307692307648	0.8	11.839560735225678
56	5600	703	1000	0.9300737113263833	563	140	0.7615384615384574	0.8051209103840683	11.91957805554072
57	5700	703	1000	0.902110041038513	565	138	0.7629230769230729	0.813655761024182	11.993613235155742
58	5800	703	1000	0.9854200912986312	564	139	0.7630769230769189	0.813655761024182	12.068485001722971
59	5900	707	1000	0.9345488051067895	564	143	0.7641538461538414	0.8033946251768034	12.16913701693217
60	6000	702	1000	0.8097706029923404	556	146	0.7659999999999954	0.8034188034188035	12.283313568433126
61	6100	699	1000	0.9653667669205933	557	142	0.7674615384615338	0.8111587982832618	12.37040495077769
62	6200	697	1000	0.8504554273676962	556	141	0.7675384615384566	0.8235294117647058	12.441130435466766
