Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[8, 10, 5]	sub(lt(X5, X8), neg(X10))	None	0.8612513392346877	0.6498472523453074	4	443.38189425864704	4997	0	11.0	1766.3868391165438	4366	5000	499	499	1	0.643304173799777	249.5	0.8612513392346877	0.8612513392346877	0.741753869333543	1
[4]	neg(sub(3, X4))	None	0.6168080420625928	0.6130117990908979	1	443.38189425864704	4962	0	11.0	441.59670977913595	3107	5000	448	499	1	0.5186640285297733	198.5	0.6168080420625928	0.6168080420625928	0.3804521607530892	1
[1, 2, 10, 6]	max(sub(X2, X10), mul(X1, X6))	None	0.1941054857228403	0.37156403638468083	1	443.38189425864704	4985	0	11.0	441.59670977913595	2290	5000	371	499	1	0.0018830236374948062	121.5	0.1941054857228403	0.1941054857228403	0.03767693958769976	1
[0, 1, 3, 4, 8, 9]	max(div(add(X1, X9), lt(X8, X8)), sub(sub(X4, X0), mul(X3, X0)))	None	0.13562820662372763	0.19727286621228735	1	443.38189425864704	4985	0	11.0	441.59670977913595	1887	5000	332	499	1	0.0009997463173080292	82.5	0.13562820662372763	0.13562820662372763	0.018395010431968555	1
[0, 8, 6]	sub(div(X6, X0), div(X8, -2))	None	0.5343158339536259	0.5942785313557708	2	443.38189425864704	4985	0	11.0	883.1934195582719	2863	5000	421	499	1	0.4452843115864303	171.5	0.5343158339536259	0.5343158339536259	0.28549341041355875	1
[1, 2, 3]	sub(div(X3, X2), cos(X1))	None	0.15900042643328643	0.4160722331285477	1	443.38189425864704	4997	0	11.0	441.59670977913595	2293	5000	347	499	1	0.0021085830281890464	97.5	0.15900042643328643	0.15900042643328643	0.025281135605966933	1
[0, 1, 3, 6, 9, 10]	add(gt(div(X9, X0), neg(X10)), sub(lt(X3, X6), neg(X1)))	None	0.24351524609923922	0.45600884717163537	2	443.38189425864704	4985	0	11.0	883.1934195582719	2550	5000	407	499	1	0.0023109742977855735	157.5	0.24351524609923922	0.24351524609923922	0.05929967508277304	1
[1, 5, 6, 7, 10]	sub(add(max(X1, X6), X10), lt(gt(X7, X7), neg(X5)))	None	1.0	0.8461412971615898	3	443.38189425864704	4997	0	11.0	1324.790129337408	4924	5000	499	499	1	0.9518809610677803	249.5	1.0	1.0	1.0	1
[1, 10, 3, 7]	sub(max(gt(X3, X3), div(X7, X10)), sub(X1, X7))	None	0.6679463843139705	0.6322112935698354	1	443.38189425864704	4985	0	11.0	441.59670977913595	2999	5000	448	499	1	0.5869224269440647	198.5	0.6679463843139705	0.6679463843139705	0.44615237231810634	1
[1, 4, 6]	max(sub(X4, 4), max(X1, X6))	None	0.6939482363626568	0.6414740363331631	1	443.38189425864704	4985	0	11.0	441.59670977913595	3163	5000	451	499	1	0.6172879259232064	201.5	0.6939482363626568	0.6939482363626568	0.4815641547508418	1
