Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[0, 8, 6]	sub(div(X6, X0), div(X8, -2))	None	0.5343158339536259	0.5942785313557708	3	529.5381131300475	9996	0	11.0	1615.4655066213718	4555	10000	421	499	1	0.4452843115864303	171.5	0.5343158339536259	0.5343158339536259	0.28549341041355875	1
[1, 5, 6, 7, 10]	sub(add(max(X1, X6), X10), lt(gt(X7, X7), neg(X5)))	None	1.0	0.8461412971615898	3	529.5381131300475	9996	0	11.0	1615.4655066213718	9309	10000	499	499	1	0.9518809610677803	249.5	1.0	1.0	1.0	1
[8, 1, 7]	add(cos(div(X1, X1)), mul(max(X1, X7), gt(X8, 2)))	None	0.9324546489737024	0.7608871776276209	3	529.5381131300475	9996	0	11.0	1615.4655066213718	5846	10000	493	499	1	0.8745674473712913	243.5	0.9324546489737024	0.9324546489737024	0.8694716723926706	1
[4]	neg(neg(X4))	None	0.8245888118832772	0.6982774460660827	1	529.5381131300475	9965	0	11.0	538.4885022071239	5341	10000	466	499	1	0.7682366074141028	216.5	0.8245888118832772	0.8245888118832772	0.6799467086830746	1
[8, 6]	add(sub(X8, X6), lt(X6, X8))	None	0.8073390462811997	0.6856472155965744	3	529.5381131300475	9996	0	11.0	1615.4655066213718	5240	10000	471	499	1	0.7396714594984998	221.5	0.8073390462811997	0.8073390462811997	0.6517963356502371	1
[0, 1, 6, 7]	sub(neg(add(X1, X6)), neg(max(X0, X7)))	None	0.5242295209018849	0.581918764693053	1	529.5381131300475	9972	0	11.0	538.4885022071239	4772	10000	446	499	1	0.3933935951646746	196.5	0.5242295209018849	0.5242295209018849	0.2748165905850198	1
[0, 3, 4, 8, 9]	max(sub(div(X0, X4), neg(X8)), lt(neg(X9), cos(X3)))	None	0.8498999462901078	0.707314456308447	2	529.5381131300475	9996	0	11.0	1076.9770044142479	5341	10000	477	499	1	0.7870663158823337	227.5	0.8498999462901078	0.8498999462901078	0.7223299187039282	1
[1, 10, 6, 9]	sub(max(X10, X6), lt(X1, X9))	None	0.8263044117407368	0.6213051638838945	1	529.5381131300475	9996	0	11.0	538.4885022071239	5790	10000	499	499	1	0.5490260103729306	249.5	0.8263044117407368	0.8263044117407368	0.682778980862205	1
[10, 4]	sub(max(X10, X10), lt(X10, X4))	None	0.7805426075240218	0.583829183645783	1	529.5381131300475	9996	0	11.0	538.4885022071239	4953	10000	499	499	1	0.40158618311717603	249.5	0.7805426075240218	0.7805426075240218	0.6092467621603992	1
[8, 10, 3]	sub(max(X10, X8), div(X3, X10))	None	0.5056309879185564	0.5774725655547032	1	529.5381131300475	9996	0	11.0	538.4885022071239	4131	10000	441	499	1	0.3740920045213238	191.5	0.5056309879185564	0.5056309879185564	0.25566269594349533	1
