Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[5]	[[260.31222495355, 495.18020104645]]	[85.105011299035, 166.725797300965]	0.993047466994182	0.8815609386436207	1	508.8847607031488	49989	0	0.07692307692307693	540.5728481412841	23937	23937	719	719	1	0.9700844567727556	360.938	0.993047466994182	0.993047466994182	0.986143271703561	1
[5, 6]	div(add(1, X5), X6)	None	0.9576919251611513	0.6398111165771017	4	498.50938912388585	49981	451	13.0	2171.4818998830697	29452	49549	1248	1500	1	0.6119594831981963	498.0	0.9576919251611513	0.9576919251611513	0.9171738235188722	1
[5]	[[79.96730282375003, 454.75662637625]]	[44.59067959662, 157.86034180338]	0.46282346101509675	0.7403822609014997	1	528.9999957911634	49989	474	0.07692307692307693	550.2109246556502	32620	36977	988	1120	1	0.3543410956377443	208.48000000000002	0.46282346101509675	0.46282346101509675	0.21420555606599279	1
[5]	[[260.31222495355, 495.18020104645]]	[66.23007963575, 166.725797300965]	0.952269188016977	0.8747803490129219	2	508.8847607031488	49989	1678	0.07692307692307693	1081.1456962825682	23130	23130	718	718	1	0.9452054615979666	273.3186666666667	0.952269188016977	0.952269188016977	0.9068166064465127	1
[5]	[[-49.724426777000005, 240.47181892519998]]	[1.188243104879998, 72.661486496955]	0.953168509964069	0.7897985472107998	2	496.937117161998	49981	2341	0.07692307692307693	1026.5132673925684	19865	22341	625	703	1	0.9340412887227019	332.0833333333333	0.953168509964069	0.953168509964069	0.9085302083871235	1
[3, 5]	min(X5, X3)	None	0.5085480466404313	0.5628698298056023	3	498.50938912388585	49981	2418	13.0	1628.6114249123023	27333	47582	1030	1500	1	0.30851822633633713	280.0	0.5085480466404313	0.5085480466404313	0.2586211157417983	1
[5, 10]	[[-49.724426777000005, 105.26022561295], [2.8514489718, 0.5012360642]]	[-55.69556093352, 64.23702257952]	1.0	1.0	1	227.37665652370407	3168	3168	0.15384615384615385	227.37665652370407	1	1	1	1	1	1.0	1	1.0	1.0	1.0	1
[5]	[[-49.724426777000005, 213.07062785345]]	[-10.699522134395, 61.029160650675]	0.9455732724954232	0.7642035847647365	2	485.45465608364395	49957	3756	0.07692307692307693	970.4465629084178	16093	19114	522	620	1	0.9335410078649375	306.24	0.9455732724954232	0.9455732724954232	0.8941088136577039	1
[5]	[[216.18040721494998, 495.18020104645]]	[62.389823813045, 149.51659596425]	0.8119503870811842	0.7388533741955663	2	513.7504148075373	49989	4050	0.07692307692307693	1118.2676910975435	22086	26346	721	860	1	0.8026789230404011	255.45333333333332	0.8119503870811842	0.8119503870811842	0.6592634310812848	1
[5]	[[-49.724426777000005, 181.9088481933]]	[-55.69556093352, 64.23702257952]	0.9984993017386989	0.9073649593458064	2	483.92104371962773	49957	4090	0.07692307692307693	962.9582212872449	15801	15801	516	516	1	0.9854065534039675	324.048	0.9984993017386989	0.9984993017386989	0.9970008555726694	1
[8, 3, 5]	min(max(X5, X5), add(X8, X3))	None	0.8147942279598875	0.6295898904690821	2	498.50938912388585	49981	5005	13.0	1085.7409499415348	30408	44995	1134	1500	1	0.578025205768638	384.0	0.8147942279598875	0.8147942279598875	0.6638896339167492	1
[5]	[[-49.724426777000005, 213.07062785345]]	[-17.43077033454, 61.029160650675]	0.9455345156376724	0.7641190905717303	2	485.45465608364395	49957	5282	0.07692307692307693	970.4465629084178	15563	18484	522	620	1	0.9334911860965098	306.24	0.9455345156376724	0.9455345156376724	0.8940355202621678	1
[5]	[[-49.724426777000005, 232.5475748845]]	[-30.586007310675008, 61.029160650675]	0.8902127276248711	0.6935517629238162	1	486.93376905608125	49957	6950	0.07692307692307693	488.8343971095734	14986	19602	522	683	1	0.8797908116777392	284.31600000000003	0.8902127276248711	0.8902127276248711	0.792478700425313	1
[5]	[[79.96730282375003, 316.4341059526]]	[35.517361602319994, 110.05523738439501]	0.9454700273859193	0.7977760950929091	1	546.0415493841954	49989	7439	0.07692307692307693	552.1899209128054	17693	19909	624	702	1	0.9327450779951721	312.312	0.9454700273859193	0.9454700273859193	0.893913572685131	1
[5]	[[26.478142098300026, 388.89001970519996]]	[4.001451621450002, 127.96427622995]	0.6811992547921114	0.8115124501633227	3	513.1314487396937	49989	7446	0.07692307692307693	1637.9294661228719	30069	30463	1060	1074	1	0.6221808286269851	269.53600000000006	0.6811992547921114	0.6811992547921114	0.46403242472932793	1
[5]	[[265.77432357550003, 495.18020104645]]	[96.01441245217498, 166.725797300965]	0.9647408308572387	0.8161740911883777	1	508.8847383270493	49964	7791	0.07692307692307693	540.5727627832389	18066	19786	642	703	1	0.9459425803838295	334.55466666666666	0.9647408308572387	0.9647408308572387	0.9307248707231153	1
[5]	[[-49.724426777000005, 185.279241224]]	[-20.448970190965, 61.171815810965]	0.9999675318654031	0.8951784954254509	1	483.9210437475391	49957	8034	0.07692307692307693	481.4791107117653	14658	14853	524	531	1	0.9834558433017396	338.504	0.9999675318654031	0.9999675318654031	0.999935064784986	1
