Epoch	Explore_Iteration	MacroPopSize	MicroPopSize	Accuracy_Estimate	RuleCount	TreeCount	AveGenerality	ExpRules	Time(min)
1	100	995	1000	0.9403371316250467	512	483	0.6805384615384616	0.0	2.218707096576691
2	200	986	1000	0.9360555746842212	528	458	0.6826923076923073	0.0	2.8842042843500773
3	300	977	1000	0.9473266588002288	546	431	0.6846153846153836	0.0	3.5413413008054095
4	400	970	1000	0.9508774104608884	561	409	0.6848461538461523	0.0	4.1430696169535315
5	500	957	1000	0.9604265259977994	578	379	0.6872307692307678	0.0	4.738865399360657
6	600	953	1000	0.9388171241243519	596	357	0.6879999999999982	0.0	5.243002800146739
7	700	949	1000	0.9487071068977848	613	336	0.6879230769230745	0.0	5.755785365899404
8	800	940	1000	0.9456247479766577	623	317	0.6894615384615354	0.0	6.239166951179504
9	900	933	1000	0.9486818846994247	635	298	0.6893076923076891	0.0	6.698832786083221
10	1000	922	1000	0.9491667190001983	643	279	0.690307692307689	0.0	7.118094801902771
11	1100	911	1000	0.9381598351460347	648	263	0.6917692307692274	0.0	7.561839230855306
12	1200	901	1000	0.918273869017723	653	248	0.6919999999999964	0.0	7.95916911760966
13	1300	885	1000	0.9379573968363494	655	230	0.6933846153846119	0.0	8.342149249712627
14	1400	869	1000	0.9366519412622827	661	208	0.6945384615384584	0.0	8.721285053094228
15	1500	860	1000	0.9366713311257141	667	193	0.6953076923076893	0.0	9.075195316473643
16	1600	853	1000	0.9256161102884495	680	173	0.6975384615384581	0.7678780773739742	9.165435981750488
17	1700	846	1000	0.8945263599227705	696	150	0.6986153846153812	0.7576832151300237	9.245735247929892
18	1800	837	1000	0.8816034214118292	699	138	0.6999999999999967	0.7610513739545998	9.3284379641215
19	1900	837	1000	0.9102683430868131	711	126	0.7003846153846119	0.7514934289127837	9.420255931218465
20	2000	824	1000	0.9147969450745513	715	109	0.7036923076923043	0.7572815533980582	9.505196166038512
21	2100	823	1000	0.9367463364135699	720	103	0.7037692307692273	0.7569866342648846	9.577472718556722
22	2200	825	1000	0.8893238144652422	726	99	0.7066153846153811	0.7563636363636363	9.649906615416208
23	2300	828	1000	0.9046091940596215	730	98	0.707769230769227	0.7608695652173914	9.723195417722065
24	2400	822	1000	0.9210979379069997	728	94	0.7086153846153809	0.7591240875912408	9.80136978228887
25	2500	824	1000	0.9124011536001119	735	89	0.7103076923076882	0.758495145631068	9.874755847454072
26	2600	820	1000	0.9228316258745537	728	92	0.7133076923076881	0.7560975609756098	9.960235234101614
27	2700	815	1000	0.9027549393165901	729	86	0.7160769230769188	0.750920245398773	10.041450949509938
28	2800	808	1000	0.9135390068732859	722	86	0.7210769230769187	0.745049504950495	10.117878663539887
29	2900	800	1000	0.9282569788944014	717	83	0.7215384615384574	0.7475	10.199265484015147
30	3000	793	1000	0.8977978492358042	713	80	0.7236923076923034	0.7452711223203027	10.31041589975357
31	3100	791	1000	0.9339112835365525	710	81	0.7289999999999953	0.7471554993678887	10.389974665641784
32	3200	785	1000	0.9162503017625073	709	76	0.7331538461538416	0.7528662420382166	10.452154167493184
33	3300	780	1000	0.9129258636716295	704	76	0.735692307692303	0.7551282051282051	10.512244749069215
34	3400	778	1000	0.9295873164181497	703	75	0.7379230769230727	0.7686375321336761	10.569657882054647
35	3500	774	1000	0.929859939270147	700	74	0.7413846153846111	0.7713178294573644	10.625565115610758
36	3600	771	1000	0.9201962514133981	700	71	0.7431538461538415	0.7769130998702983	10.673011314868926
37	3700	770	1000	0.9280298954595062	699	71	0.7456923076923031	0.7779220779220779	10.71912188132604
38	3800	764	1000	0.9197747621791925	693	71	0.7503076923076873	0.7774869109947644	10.765092833836873
39	3900	759	1000	0.9284404946364596	691	68	0.7519999999999952	0.7799736495388669	10.810228363672893
40	4000	757	1000	0.9327981625801233	688	69	0.7543076923076872	0.7793923381770145	10.854484530289968
41	4100	757	1000	0.9225252667745949	690	67	0.7563846153846103	0.7780713342140027	10.897678617636362
42	4200	751	1000	0.9090915504733033	684	67	0.7583846153846104	0.7922769640479361	10.938201848665873
43	4300	743	1000	0.9162910445913381	677	66	0.7619999999999952	0.7927321668909825	10.984357798099518
44	4400	743	1000	0.9234285219373887	678	65	0.7657692307692259	0.7833109017496636	11.029802763462067
45	4500	738	1000	0.9166096418276216	674	64	0.7699230769230723	0.7845528455284553	11.07415150006612
46	4600	735	1000	0.9302977576185847	671	64	0.7741538461538414	0.8	11.116573250293731
47	4700	726	1000	0.926965460123054	664	62	0.7776923076923029	0.7975206611570248	11.166783249378204
48	4800	725	1000	0.9181841514603428	665	60	0.7798461538461492	0.7944827586206896	11.210377566019694
49	4900	728	1000	0.9241052733026275	668	60	0.7809999999999951	0.7994505494505495	11.25623843272527
50	5000	731	1000	0.9376857366175245	671	60	0.7830769230769179	0.7948016415868673	11.304375465710958
51	5100	729	1000	0.9191620720919411	668	61	0.7836153846153794	0.8010973936899863	11.346376951535543
52	5200	730	1000	0.9184413908323933	671	59	0.7853846153846098	0.8068493150684931	11.386080185572306
53	5300	726	1000	0.9157042360744977	665	61	0.7874615384615329	0.8168044077134986	11.426741933822631
54	5400	727	1000	0.9292463931903281	667	60	0.7879230769230713	0.8198074277854195	11.466029183069866
55	5500	721	1000	0.9367619756719072	660	61	0.7899999999999947	0.8196948682385575	11.506611915429433
56	5600	723	1000	0.9244058176632346	660	63	0.7919999999999948	0.8160442600276625	11.552257565657298
57	5700	719	1000	0.8962025679661223	657	62	0.7939230769230715	0.8136300417246175	11.595499181747437
58	5800	718	1000	0.921257339133093	653	65	0.7941538461538409	0.8147632311977716	11.644758133093516
59	5900	717	1000	0.9197177313373216	653	64	0.7969230769230716	0.8172942817294282	11.698055100440978
60	6000	716	1000	0.9153204046570573	651	65	0.798769230769225	0.8156424581005587	11.749122834205627
61	6100	723	1000	0.9285850271643323	658	65	0.7995384615384558	0.8077455048409405	11.804134130477905
62	6200	723	1000	0.9273390466414247	659	64	0.8008461538461481	0.8049792531120332	11.860288568337758
63	6300	722	1000	0.9217137024113762	660	62	0.8019999999999945	0.8047091412742382	11.915275299549103
64	6400	720	1000	0.9301866636861118	658	62	0.803538461538456	0.8194444444444444	11.97054455280304
65	6500	723	1000	0.9290377851186232	659	64	0.8048461538461482	0.8257261410788381	12.02402756611506
66	6600	714	1000	0.9260126865470102	653	61	0.8056923076923024	0.8235294117647058	12.074703582127889
67	6700	713	1000	0.9337077032965279	653	60	0.8067692307692259	0.8260869565217391	12.127196033795675
68	6800	710	1000	0.9428142262761563	649	61	0.807153846153841	0.8253521126760563	12.183556214968364
69	6900	707	1000	0.9206430224498621	648	59	0.8088461538461487	0.8246110325318247	12.234553349018096
70	7000	704	1000	0.9373120245964449	647	57	0.8099999999999948	0.8295454545454546	12.28612913688024
71	7100	712	1000	0.937286154894587	655	57	0.8109999999999946	0.827247191011236	12.33412793080012
72	7200	707	1000	0.920746009487316	650	57	0.8116923076923024	0.826025459688826	12.379214866956074
73	7300	710	1000	0.9362687604359944	653	57	0.8128461538461483	0.8225352112676056	12.425225031375884
74	7400	711	1000	0.931882715828351	654	57	0.8150769230769176	0.8171589310829818	12.469241301218668
75	7500	708	1000	0.933813312833496	651	57	0.8160769230769176	0.8234463276836158	12.512314029534657
76	7600	704	1000	0.9318227230932883	648	56	0.8171538461538405	0.8338068181818182	12.55409638484319
77	7700	700	1000	0.9282240900567769	643	57	0.8169999999999946	0.8414285714285714	12.598952114582062
78	7800	692	1000	0.93212428255135	639	53	0.8192307692307639	0.8497109826589595	12.641136666138967
79	7900	691	1000	0.9305111842512646	639	52	0.8199999999999945	0.849493487698987	12.684327316284179
80	8000	692	1000	0.9385436233233545	638	54	0.8216153846153791	0.846820809248555	12.726405231157939
81	8100	692	1000	0.9307002997295271	640	52	0.8214615384615328	0.8526011560693642	12.765614819526672
82	8200	687	1000	0.9289649632634743	637	50	0.8231538461538404	0.8500727802037845	12.804917883872985
83	8300	691	1000	0.9438701568456551	640	51	0.8230769230769169	0.8422575976845152	12.84461008310318
84	8400	694	1000	0.9278044437484724	644	50	0.8233076923076861	0.8386167146974063	12.884316651026408
85	8500	696	1000	0.9343352010877913	645	51	0.8242307692307629	0.8333333333333334	12.92050918340683
86	8600	696	1000	0.9296831007094093	646	50	0.8246923076923015	0.8390804597701149	12.957688550154367
87	8700	700	1000	0.9174541346945321	649	51	0.8243846153846092	0.8371428571428572	12.993954082330069
88	8800	699	1000	0.9271418936260928	648	51	0.8249230769230707	0.8369098712446352	13.035925368467966
89	8900	697	1000	0.9228041513668153	647	50	0.8254615384615324	0.836441893830703	13.079865698019663
90	9000	694	1000	0.9276767812262989	645	49	0.8269999999999937	0.8371757925072046	13.138998917738597
91	9100	696	1000	0.9103709312742773	646	50	0.8280769230769167	0.8247126436781609	13.183952883879344
92	9200	693	1000	0.9204883732600406	643	50	0.8282307692307629	0.8268398268398268	13.225565099716187
93	9300	679	1000	0.9075615707253142	633	46	0.8295384615384553	0.833578792341679	13.265436851978302
94	9400	677	1000	0.9245612409387424	630	47	0.8315384615384551	0.8345642540620384	13.305021433035533
95	9500	680	1000	0.9272772219841281	632	48	0.8322307692307627	0.8338235294117647	13.34496443271637
96	9600	673	1000	0.9256667654628976	628	45	0.8338461538461474	0.8380386329866271	13.382355280717213
97	9700	675	1000	0.9201980654540292	629	46	0.8349999999999934	0.8325925925925926	13.437106851736704
98	9800	678	1000	0.9293202166939116	630	48	0.8339999999999935	0.8333333333333334	13.480564268430074
99	9900	677	1000	0.9280777999623794	629	48	0.8344615384615319	0.8286558345642541	13.526494065920511
100	10000	676	1000	0.9322500434026384	629	47	0.8356923076923014	0.8357988165680473	13.570763452847798
101	10100	669	1000	0.9274035309255153	622	47	0.8359999999999939	0.8490284005979073	13.614042047659556
102	10200	671	1000	0.9195030917176212	626	45	0.8365384615384552	0.849478390461997	13.656082963943481
103	10300	671	1000	0.9278813556572584	624	47	0.8368461538461474	0.8509687034277198	13.708825782934825
104	10400	669	1000	0.9267427345121173	622	47	0.8385384615384549	0.8490284005979073	13.761515367031098
105	10500	665	1000	0.9308328635327334	618	47	0.8385384615384551	0.8511278195488722	13.809404083093007
106	10600	668	1000	0.9247433789355426	622	46	0.8404615384615322	0.8458083832335329	13.855116800467174
107	10700	673	1000	0.9290559753438775	627	46	0.8419999999999938	0.8335809806835067	13.899024816354116
108	10800	675	1000	0.9315771636638124	627	48	0.8430769230769171	0.8251851851851851	13.943992952505747
109	10900	672	1000	0.9307678152010881	626	46	0.8435384615384557	0.8273809523809523	13.993249313036602
110	11000	677	1000	0.9322604591440263	631	46	0.8458461538461478	0.8183161004431314	14.051361882686615
111	11100	676	1000	0.9240412739482327	631	45	0.8481538461538403	0.8121301775147929	14.103689150015514
112	11200	672	1000	0.9253861807132943	627	45	0.8483846153846094	0.8169642857142857	14.157880616188049
113	11300	661	1000	0.926696306793657	616	45	0.8489999999999941	0.8290468986384266	14.20851749976476
114	11400	664	1000	0.92506386772872	619	45	0.8494615384615323	0.8313253012048193	14.253799732526144
115	11500	666	1000	0.9371631914300876	621	45	0.8508461538461475	0.8303303303303303	14.308464936415355
116	11600	673	1000	0.9386722185036817	628	45	0.851461538461532	0.8187221396731055	14.364370048046112
117	11700	668	1000	0.9191163580291348	623	45	0.8518461538461476	0.8218562874251497	14.42308798233668
118	11800	666	1000	0.936287657693732	622	44	0.853076923076917	0.8258258258258259	14.479459436734517
119	11900	661	1000	0.9313934457879661	617	44	0.8543846153846091	0.8305597579425114	14.521933750311534
120	12000	660	1000	0.9358474114078058	617	43	0.8547692307692245	0.8303030303030303	14.567155933380127
121	12100	658	1000	0.9296433035513049	614	44	0.8551538461538398	0.8419452887537994	14.60777751604716
122	12200	653	1000	0.9353851834883684	610	43	0.8556923076923016	0.8560490045941807	14.64551526705424
123	12300	656	1000	0.9376125716803692	612	44	0.8564615384615324	0.8597560975609756	14.685438330968221
124	12400	655	1000	0.9353112438695849	612	43	0.8573076923076862	0.8580152671755725	14.728041084607442
125	12500	658	1000	0.9252965006894623	614	44	0.8569230769230709	0.8632218844984803	14.778051447868346
126	12600	652	1000	0.9253889305881781	610	42	0.85715384615384	0.8711656441717791	14.815597033500671
127	12700	651	1000	0.9278486580201292	610	41	0.8569999999999939	0.869431643625192	14.852311380704244
128	12800	651	1000	0.9281331775806205	610	41	0.8576923076923018	0.8632872503840245	14.89511415163676
129	12900	646	1000	0.9217710769736294	606	40	0.858923076923071	0.8653250773993808	14.933862646420797
130	13000	648	1000	0.9252653256800919	608	40	0.8594615384615326	0.8626543209876543	14.970226617654165
131	13100	645	1000	0.9390256652156843	605	40	0.8605384615384556	0.8713178294573644	15.010492781798044
132	13200	645	1000	0.9191785282637581	606	39	0.8616153846153787	0.8635658914728682	15.04475359916687
133	13300	645	1000	0.9346412369627037	606	39	0.8629999999999939	0.8573643410852713	15.080268466472626
134	13400	642	1000	0.9291746786295236	604	38	0.8638461538461477	0.8504672897196262	15.115110119183859
135	13500	645	1000	0.9325216343922682	606	39	0.8636923076923012	0.8403100775193798	15.151141432921092
136	13600	649	1000	0.9344845975216335	610	39	0.8639999999999932	0.8335901386748844	15.189312736193338
137	13700	643	1000	0.9364413648222363	603	40	0.8668461538461468	0.8258164852255054	15.228154683113098
138	13800	645	1000	0.9306315442624896	604	41	0.8667692307692235	0.8263565891472868	15.273409819602966
139	13900	641	1000	0.9169792655396252	601	40	0.8672307692307624	0.828393135725429	15.316967713832856
140	14000	640	1000	0.9129783844124572	600	40	0.8687692307692237	0.8328125	15.363431866963705
141	14100	640	1000	0.9171707351203052	600	40	0.8693076923076853	0.8265625	15.40688621600469
142	14200	644	1000	0.9251879236403794	604	40	0.8699999999999929	0.8260869565217391	15.455646347999572
143	14300	646	1000	0.9199141084594966	606	40	0.8703846153846082	0.8235294117647058	15.497732849915822
144	14400	644	1000	0.9260827434155197	602	42	0.8708461538461462	0.827639751552795	15.547352449099224
145	14500	646	1000	0.9343361303379112	606	40	0.8717692307692236	0.8312693498452013	15.591595280170441
146	14600	640	1000	0.930425910883136	600	40	0.8726153846153776	0.834375	15.636636781692506
147	14700	643	1000	0.9091592316422522	603	40	0.8731538461538391	0.8398133748055988	15.67941859960556
