Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[5, 4, 7, 2, 8, 9, 11, 3, 12, 0]	[[-124.27025848125, 125.26094025524999], [-16.5, 117.5], [3.2945, 5.789499999999999], [0.3350000000000001, 1.8850000000000002], [18.025, 31.975], [2.5424800000000003, 4.94152], [0.23999999999999977, 3.94], [-4.5, 42.5], [29.0, 123.0], [0.4865, 0.9855]]	[-19.78800624465, 30.11823350265]	0.9967888468188768	0.962603551860973	1	330.7325845168212	49537	0	0.7692307692307693	330.7325845168212	35	35	2	2	1	0.9966662844376009	1.6893333333333334	0.9967888468188768	0.9967888468188768	0.9935880051425062	1
[5]	[[258.59085775594, 478.17831264406]]	[82.87924592742999, 172.71047747257]	0.9831072121234975	0.8924852627813729	3	547.3076724314511	49992	0	0.07692307692307693	1641.9230172943535	22051	22051	663	663	1	0.9712487756611505	309.4	0.9831072121234975	0.9831072121234975	0.9664997905292355	1
[5]	[[7.81037371486002, 187.47283680514]]	[2.2436559325199923, 62.500321623649995]	0.9784772628223246	0.8345977237720812	1	459.4000247716341	49973	1216	0.07692307692307693	459.4000247716341	15917	17477	489	537	1	0.9669078725680051	306.778	0.9784772628223246	0.9784772628223246	0.9574177538602685	1
[4, 3]	[[-20.0, 42.8], [53.0, 10.0]]	[-3.1943359676600025, 83.30981292766]	1.0	1.0	1	314.84805314525244	1560	1560	0.15384615384615385	314.84805314525244	1	1	1	1	1	1.0	1	1.0	1.0	1.0	1
[12, 5]	sqrt(mul(mul(-5, X5), min(-6, X12)))	None	0.9999657521410314	0.8906581289943434	2	494.43390723972107	49999	1754	13.0	988.8678144794421	41219	48246	1499	1500	1	0.9736069621190858	749.0	0.9999657521410314	0.9999657521410314	0.9999315054549788	1
[5]	[[233.04609759276497, 496.921782031425]]	[70.82811451587499, 195.593713884125]	0.9555359647765233	0.8667973059319584	3	573.1276865542766	49992	1788	0.07692307692307693	1719.3830596628297	25423	25423	791	791	1	0.941927347740285	311.12666666666667	0.9555359647765233	0.9555359647765233	0.9130489799814011	1
[5]	[[273.76486848229, 543.25856311771]]	[70.82811451587499, 182.75910502275]	0.9563523217024286	0.8740811156612793	1	536.2343319943645	49992	1869	0.07692307692307693	536.2343319943645	22139	22139	690	690	1	0.9480579895303808	271.4	0.9563523217024286	0.9563523217024286	0.9146097632256254	1
[5]	sqrt(mul(mul(-5, X5), -6))	None	0.999972911125982	0.8906947005700718	2	494.43390723972107	49999	2129	13.0	988.8678144794421	40844	47871	1499	1500	1	0.9736212856475313	749.0	0.999972911125982	0.999972911125982	0.9999458229857711	1
[5, 8]	[[273.76486848229, 543.25856311771], [7.375, 36.625]]	[47.16873753006499, 182.75910502275]	0.7422522836092009	0.8386332706933832	1	556.5867478470257	49941	2269	0.15384615384615385	556.5867478470257	14229	14229	447	447	1	0.7377312369793756	114.43200000000002	0.7422522836092009	0.7422522836092009	0.5509384525230736	1
[5]	[[182.44038428013, 546.0077217902799]]	[68.89113982814999, 185.33903257185]	0.8950373116478358	0.8173274886752575	2	575.1398736464271	49992	3152	0.07692307692307693	1150.2797472928542	29010	30007	929	961	1	0.8734957796506412	333.82066666666674	0.8950373116478358	0.8950373116478358	0.8010917892417853	1
[5]	[[5.555447845465011, 300.002262354535]]	[-3.1680696297549957, 98.307951189755]	0.9089722176922357	0.7991863380621123	1	539.0731171679201	49973	3390	0.07692307692307693	539.0731171679201	25204	27165	811	874	1	0.8927644413423719	328.55199999999996	0.9089722176922357	0.9089722176922357	0.8262304925363411	1
[5]	[[-49.6176142203, 300.002262354535]]	[18.496605229525002, 93.355964850475]	0.775111916467427	0.6602135567455543	2	495.0584359609055	49973	4106	0.07692307692307693	990.116871921811	20276	27264	663	891	1	0.7622541565701423	269.178	0.775111916467427	0.775111916467427	0.6007984830498077	1
