Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[12]	[[27.565999999999995, 67.53399999999999]]	[163.4109000000003, 4358.669099999999]	0.9651680882903526	0.8771513926595139	1	540.2734698217688	49984	0	0.07692307692307693	538.5738421524466	18813	19480	566	586	1	0.9648552561598415	257.764	0.9651680882903526	0.9651680882903526	0.9315494386540539	1
[12]	[[-4.269999999999996, 70.67]]	[-2543.8291499999996, 4747.92915]	0.8278441373968565	0.8317692752966497	1	519.2255848455055	49984	0	0.07692307692307693	533.9188436845127	34482	35347	1036	1062	1	0.8275729404091055	303.928	0.8278441373968565	0.8278441373968565	0.6853259158223454	1
[12]	[[46.0188, 100.22559999999999]]	[3227.0415000000003, 10219.138500000001]	0.8012042289216427	0.6744200973968791	1	534.9589005998166	49964	300	0.07692307692307693	514.6982047546901	21369	26332	645	795	1	0.8009414466266421	303.15	0.8012042289216427	0.8012042289216427	0.641928216441924	1
[12]	[[66.1764, 105.3284]]	[5903.96315, 10598.65685]	0.8970723968921392	0.6671464839127919	1	509.521121935323	49964	578	0.07692307692307693	506.54906627992773	12118	16238	368	493	1	0.8967813767581918	247.05066666666667	0.8970723968921392	0.8970723968921392	0.8047388852658078	1
[12]	[[-9.972000000000001, 42.3444]]	[-1491.1464999999998, 1705.6535999999999]	0.9875425579539826	0.9229828014054167	1	507.745172744741	49955	1469	0.07692307692307693	522.1178357350398	20657	21176	638	654	1	0.9872191392878514	359.832	0.9875425579539826	0.9875425579539826	0.9752403037702951	1
[12]	[[62.63080000000001, 91.2268]]	[4211.962800000001, 10604.7372]	0.9522009300381107	0.7975479469917826	4	526.1192518804653	49964	2285	0.07692307692307693	2035.8691553161354	12331	13695	388	431	1	0.9518927763484824	240.59799999999998	0.9522009300381107	0.9522009300381107	0.9066866111654429	1
[12]	[[0.5827999999999989, 61.824400000000004]]	[-2942.9994499999993, 2950.3394499999995]	0.8973587928465628	0.800287085011252	1	517.8062749157585	49984	3207	0.07692307692307693	532.7651177337223	25240	28676	809	919	1	0.8970656156723538	306.61333333333334	0.8973587928465628	0.8973587928465628	0.8052528030990405	1
[12, 5]	[[-9.972000000000001, 54.1776], [-0.4081176662999999, 2.5899738483]]	[-1492.3100499999998, 1604.19005]	0.9142421109087953	0.7604060813973396	2	524.8708205321435	49905	3345	0.15384615384615385	1020.6516427036856	10545	13154	339	423	1	0.913948541607092	164.72400000000002	0.9142421109087953	0.9142421109087953	0.8358386373589699	1
[12, 10]	[[-3.3640000000000043, 61.584], [3.39859494908, 0.5013914998]]	[-2648.6385, 4343.4585]	1.0	1.0	1	316.87268409338293	3804	3804	0.15384615384615385	316.87268409338293	1	1	1	1	1	1.0	1	1.0	1.0	1.0	1
[12]	[[61.2192, 107.14359999999999]]	[3227.0415000000003, 9856.92685]	0.9605336328325712	0.8405294381588246	2	523.2154864487775	49964	4264	0.07692307692307693	1017.7396799256713	17455	17637	573	579	1	0.9602198800367797	326.346	0.9605336328325712	0.9605336328325712	0.9226248598025367	1
[2, 3, 12]	add(mul(X12, X12), mul(max(X2, -3), X3))	None	0.9994476214205741	0.9898013850971079	1	518.174605410881	49964	4400	13.0	525.6949439613236	40898	45600	1499	1500	1	0.99855409175244	749.0	0.9994476214205741	0.9994476214205741	0.9988955479632432	1
[12]	[[46.0188, 99.6156]]	[4512.50475, 10604.7372]	0.645973823160854	0.524899959604963	1	534.9589005998166	49964	4591	0.07692307692307693	514.6982047546901	14405	23938	476	791	1	0.6457627012872346	222.88	0.645973823160854	0.645973823160854	0.41728218020905034	1
[12]	[[0.5827999999999989, 61.824400000000004]]	[-580.3135999999998, 4546.905599999999]	0.903011563837009	0.8635443700595209	1	517.8062749157585	49984	4755	0.07692307692307693	532.7651177337223	27727	27727	919	919	1	0.9027171268178374	291.6293333333333	0.903011563837009	0.903011563837009	0.8154298844233605	1
[12]	[[-9.972000000000001, 32.5572]]	[-3490.0220499999996, 3601.962049999999]	0.9301563940282552	0.8528239402970477	2	501.3091843659989	49955	4878	0.07692307692307693	1007.6136741088796	15165	15165	504	504	1	0.9298565927161682	199.91999999999996	0.9301563940282552	0.9301563940282552	0.8651909173516468	1
[12]	[[46.0188, 100.22559999999999]]	[2148.94085, 10219.138500000001]	0.9015416621693086	0.7951414903810049	1	534.9589005998166	49964	4962	0.07692307692307693	514.6982047546901	23722	23872	790	795	1	0.9012449233261158	371.30000000000007	0.9015416621693086	0.9015416621693086	0.8127773686269998	1
[3, 12]	add(mul(X12, X12), mul(-3, X3))	None	0.9770076032370362	0.8482328275289469	3	518.174605410881	49955	5088	13.0	1577.0848318839708	33871	44912	1499	1500	1	0.9531196780984041	749.0	0.9770076032370362	0.9770076032370362	0.9545438567829779	1
[12]	[[-9.972000000000001, 61.824400000000004]]	[-1496.5862000000002, 2898.4462]	0.8946950104325081	0.7963300970774498	1	517.8054932266792	49984	5204	0.07692307692307693	532.7560176751488	24325	27789	814	930	1	0.89440257803896	309.32000000000005	0.8946950104325081	0.8946950104325081	0.8004791616928257	1
[12]	mul(X12, X12)	None	0.9998379647869237	0.9951822274014028	11	518.174605410881	49984	5397	13.0	5782.6443835745595	42712	44603	1499	1500	1	0.9993350579167324	749.0	0.9998379647869237	0.9998379647869237	0.9996759558292576	1
[12]	[[46.0188, 105.3284]]	[4211.962800000001, 10227.5114]	0.681748099385552	0.5565383168162892	1	534.9589005998166	49964	5403	0.07692307692307693	514.6982047546901	15234	23617	513	795	1	0.6815250812253081	241.10999999999996	0.681748099385552	0.681748099385552	0.46478047101581255	1
[12]	[[-9.972000000000001, 34.7588]]	[-1599.31715, 1696.95715]	0.9925958545297017	0.9476251823930739	2	501.309179452607	49955	5517	0.07692307692307693	1007.6136441199158	16003	16003	539	539	1	0.9922725579152678	310.464	0.9925958545297017	0.9925958545297017	0.9852465304295487	1
[12]	add(mul(X12, X12), -3)	None	0.9977810117584662	0.9695596121354342	6	518.174605410881	49984	5620	13.0	3154.1696637679415	42312	44380	1499	1500	1	0.9952162286508004	749.0	0.9977810117584662	0.9977810117584662	0.9955669474257485	1
[12]	[[-9.972000000000001, 59.082]]	[-1616.2862, 2778.7462]	0.9296892359459366	0.8275455369292112	2	517.7905618488496	49984	5742	0.07692307692307693	1065.1643871192286	23763	26217	805	888	1	0.9293851219846185	328.44000000000005	0.9296892359459366	0.9296892359459366	0.8643220754337393	1
[0, 12]	add(mul(max(X0, X12), X12), -3)	None	0.9977809397040791	0.9695588179054152	5	518.174605410881	49984	5960	13.0	2628.474719806618	41972	44040	1499	1500	1	0.9952160842198736	749.0	0.9977809397040791	0.9977809397040791	0.9955668036367551	1
[12]	[[-1.0080000000000027, 53.948]]	[-580.3135999999998, 3736.16655]	0.9567108219747656	0.8870752306470568	1	515.8397234774334	49984	7037	0.07692307692307693	530.3789517726503	23369	23369	815	815	1	0.9563986618958169	315.1333333333334	0.9567108219747656	0.9567108219747656	0.9152955968836317	1
[12]	[[64.2544, 93.412]]	[1485.5579500000008, 8577.54205]	0.9309493304331269	0.8267942000663949	1	522.6962168346394	49964	7817	0.07692307692307693	507.60209188144376	11612	12006	413	427	1	0.9306497484300433	186.40533333333335	0.9309493304331269	0.9309493304331269	0.8666666558338872	1
[12]	[[-9.972000000000001, 64.812]]	[-2066.8304, 2898.4462]	0.8254867292959637	0.7510786970071361	2	519.5797620802454	49984	7853	0.07692307692307693	1066.4030640867245	22872	27709	814	986	1	0.825217141974182	278.93066666666675	0.8254867292959637	0.8254867292959637	0.6814283402437477	1
[12]	[[71.2128, 99.63640000000001]]	[6087.72025, 10227.5114]	0.9340771282156086	0.7229599912778271	1	505.22657754831323	49964	7877	0.07692307692307693	503.54152741923946	9711	12068	346	430	1	0.9337744950529988	245.95333333333332	0.9340771282156086	0.9340771282156086	0.8725000814555185	1
