InstanceID	N0	N1	X	N2	Class
376	962.7505406940628	1109.5611959059815	2444.868223223998	1759.2549666860189	-0.958924275
179	1416.4659828137655	1454.9881912347942	2794.501593057386	2141.9944026291223	-0.756802495
354	1904.9878242795157	1938.7039636920313	3512.6341919427305	2702.7484081048196	0.656986599
385	1670.1715219627565	1726.1373967644934	3257.746881579667	2389.8135092194398	0.841470985
173	1496.9602741017052	1674.0820207961985	3153.8282005384535	2303.3998036139988	0.909297427
404	1830.8915185736664	1817.8125921351227	3454.2741913069412	2603.829862749454	0.656986599
355	1284.526528892783	1354.958801612015	2678.1956439786745	2018.8819854615908	-0.756802495
38	2446.6144538203916	2520.103767069295	3840.204116977813	3195.1660075546583	0.141120008
174	2195.721817935659	2441.038974113697	3687.8806654758746	3029.83237898384	-0.279415498
378	977.0278253855073	1091.800006612683	2453.995732848102	1740.859962995221	-0.958924275
481	1741.241590564279	1842.3154230745433	3165.5471091927725	2527.7399941429694	-0.544021111
251	1869.9625683706688	1969.9002489324623	3301.366357039159	2670.7860627974205	-0.544021111
496	1569.1262932743514	1664.093799146944	2986.0662433168804	2351.3813928665327	-0.756802495
111	1275.657462479423	1310.1848817109972	2622.8825748155195	2040.5641104828871	-0.958924275
80	1711.941034277135	1738.0001293246628	3188.8112706742477	2431.4689146985042	0.909297427
63	2297.7429269901872	2536.377779790994	3701.971429829775	3155.0883941972993	0.0
208	2299.026349240706	2432.803794548263	3775.830116996178	3226.6197271829137	-0.279415498
167	2426.5572145619526	2528.436656465718	3820.4182591552985	3268.9408531188187	-0.279415498
393	2393.5229795855107	2503.5559602601643	3813.8317617958865	3232.6681919119474	0.141120008
71	2205.1930857318944	2301.2065061740955	3589.5903184552826	3012.628432958935	-0.279415498
47	1297.2323833733533	1342.5080441182024	2694.5675575651044	1983.210535009075	0.909297427
227	2230.638697334906	2373.465014510115	3526.4487871710567	2970.657010500002	0.141120008
166	2122.804403779507	2340.2189206355115	3536.501196471141	2997.068669997644	0.141120008
243	1252.7510289440322	1345.7154506472111	2686.9036263188136	2000.2843108113314	0.909297427
486	2168.5483167561347	2316.1799407557473	3385.490952950192	2915.856026144553	0.0
78	2115.0761425511264	2326.699310282665	3489.123809646041	3000.781754012655	0.141120008
123	1549.308248865396	1525.651791755739	2908.0392931820165	2160.30046841991	0.656986599
335	1355.8161632223912	1349.7626940802327	2459.170836352186	1969.3811148594177	-0.544021111
420	1425.9214027555956	1448.3081486992346	2841.7111711984917	2104.8950997421894	0.841470985
98	1347.2444163870257	1423.7288506483133	2765.8169293558435	2038.730729731727	0.909297427
408	2007.2396150296095	2217.3435190688215	3188.3608511645607	2780.432738249631	0.0
226	1063.2387049518654	1160.0877493364746	2366.079485443086	1746.5217242466165	-0.756802495
350	2203.5511022708283	2364.894351513498	3495.506695609719	2979.81596201963	0.141120008
406	1996.8005355174744	2053.5910907858847	3383.8292853084577	2683.432256697745	0.412118485
323	2026.2961744839893	2262.61990261256	3368.572823175976	2792.583515463511	-0.279415498
62	1226.915693194665	1257.7287971968135	2442.616024530299	1809.040616372493	-0.756802495
184	847.2770777997465	970.8803453206207	2063.5903027439326	1465.7081227066406	-0.958924275
165	2110.950699716885	2369.974459712506	3426.571329435319	2981.895407526206	0.0
200	1256.0127500852966	1353.5754315285221	2547.5688698424256	1933.4036658839714	-0.756802495
