Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[2, 3]	lt(cos(lt(X3, -3)), neg(add(X3, X2)))	None	0.7236462280369613	0.6608322904633467	1	698.9319341198645	4985	0	4.0	693.6752756054104	2969	5000	465	499	1	0.6753974966725723	215.5	0.7236462280369613	0.7236462280369613	0.5236638633521218	1
[1, 2, 3]	gt(lt(3, X3), sub(X1, X2))	None	0.30204434511882466	0.5146125288872592	1	698.9319341198645	4985	0	4.0	693.6752756054104	2773	5000	434	499	1	0.07392241843649838	184.5	0.30204434511882466	0.30204434511882466	0.09123078641825966	1
[0, 2]	sin(lt(sub(1, X0), lt(X0, X2)))	None	0.26513928922758917	0.5420622351150232	1	698.9319341198645	4985	0	4.0	693.6752756054104	2544	5000	345	499	1	0.2100763462031932	95.5	0.26513928922758917	0.26513928922758917	0.07029884269211119	1
[0, 1]	sin(lt(X0, X1))	None	0.1558103272450031	0.5212622264985352	1	698.9319341198645	4967	0	4.0	693.6752756054104	2565	5000	312	499	1	0.1073493700610553	62.5	0.1558103272450031	0.1558103272450031	0.024276858076194955	1
[1, 2, 3]	div(lt(add(X2, 1), lt(X1, X3)), gt(lt(X3, X2), sub(X3, 1)))	None	0.14426228192768306	0.20918662120804632	1	698.9319341198645	4985	0	4.0	693.6752756054104	2356	5000	341	499	1	0.0010601232179514761	91.5	0.14426228192768306	0.14426228192768306	0.020811605986982312	1
[0, 2, 3]	max(gt(gt(X0, X3), div(X2, X0)), sin(sub(X3, X2)))	None	0.5803790140419333	0.6142151651027385	1	698.9319341198645	4967	0	4.0	693.6752756054104	3071	5000	431	499	1	0.5231516837884247	181.5	0.5803790140419333	0.5803790140419333	0.33683979994028657	1
[1, 3]	gt(sub(cos(X3), sub(X1, X3)), max(X3, X1))	None	0.7236462280369613	0.6608322904633467	1	698.9319341198645	4985	0	4.0	693.6752756054104	2969	5000	465	499	1	0.6753974966725723	215.5	0.7236462280369613	0.7236462280369613	0.5236638633521218	1
[1, 3]	div(sin(X1), neg(X3))	None	0.1750078163880728	0.45642682856631966	2	698.9319341198645	4960	0	4.0	1387.3505512108209	2749	5000	362	499	1	0.00231309254815227	112.5	0.1750078163880728	0.1750078163880728	0.030627735796921404	1
[0, 1, 2]	sin(gt(lt(X0, X2), lt(X1, 5)))	None	0.13888352591612457	0.5148849591895677	1	698.9319341198645	4967	0	4.0	693.6752756054104	2492	5000	313	499	1	0.07529556954075176	63.5	0.13888352591612457	0.13888352591612457	0.019288633770894847	1
[]	neg(lt(-2, -2))	None	0.7236462280369613	0.6608322904633467	3	698.9319341198645	4985	0	4.0	2081.0258268162315	2969	5000	465	499	1	0.6753974966725723	215.5	0.7236462280369613	0.7236462280369613	0.5236638633521218	1
