Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[2, 3]	lt(cos(lt(X3, -3)), neg(add(X3, X2)))	None	0.7236462280369613	0.6608322904633467	2	801.2502366601101	9969	0	4.0	1597.508718730331	4480	10000	465	499	1	0.6753974966725723	215.5	0.7236462280369613	0.7236462280369613	0.5236638633521218	1
[1, 2, 3]	gt(lt(3, X3), sub(X1, X2))	None	0.30204434511882466	0.5146125288872592	1	801.2502366601101	9969	0	4.0	798.7543593651656	4440	10000	434	499	1	0.07392241843649838	184.5	0.30204434511882466	0.30204434511882466	0.09123078641825966	1
[0, 2]	sin(lt(sub(1, X0), lt(X0, X2)))	None	0.26513928922758917	0.5420622351150232	1	801.2502366601101	9955	0	4.0	798.7543593651656	4354	10000	345	499	1	0.2100763462031932	95.5	0.26513928922758917	0.26513928922758917	0.07029884269211119	1
[0, 1]	sin(lt(X0, X1))	None	0.1558103272450031	0.5212622264985352	1	801.2502366601101	9955	0	4.0	798.7543593651656	4579	10000	312	499	1	0.1073493700610553	62.5	0.1558103272450031	0.1558103272450031	0.024276858076194955	1
[1, 3]	gt(sub(cos(X3), sub(X1, X3)), max(X3, X1))	None	0.7236462280369613	0.6608322904633467	1	801.2502366601101	9969	0	4.0	798.7543593651656	4480	10000	465	499	1	0.6753974966725723	215.5	0.7236462280369613	0.7236462280369613	0.5236638633521218	1
[]	neg(lt(-2, -2))	None	0.7236462280369613	0.6608322904633467	2	801.2502366601101	9969	0	4.0	1597.508718730331	4480	10000	465	499	1	0.6753974966725723	215.5	0.7236462280369613	0.7236462280369613	0.5236638633521218	1
[1, 3]	add(lt(X3, -1), cos(X1))	None	0.1259520337095604	0.5058466012120679	1	801.2502366601101	9955	0	4.0	798.7543593651656	4313	10000	320	499	1	0.029621182013253117	70.5	0.1259520337095604	0.1259520337095604	0.015863914795574238	1
[3]	mul(cos(add(4, X3)), lt(mul(X3, 4), gt(4, X3)))	None	0.5887980318673154	0.6190009333186106	2	801.2502366601101	9969	0	4.0	1597.508718730331	4420	10000	427	499	1	0.5407234295255366	177.5	0.5887980318673154	0.5887980318673154	0.34668312233082416	1
[0, 2, 3]	gt(max(X3, X0), add(X2, X2))	None	0.39591862782470594	0.5496136284758113	1	801.2502366601101	9969	0	4.0	798.7543593651656	4022	10000	432	499	1	0.24640006803039757	182.5	0.39591862782470594	0.39591862782470594	0.156751559858598	1
[0, 1]	cos(gt(X1, X0))	None	0.41319225474728566	0.581654696401496	1	801.2502366601101	9955	0	4.0	798.7543593651656	5280	10000	365	499	1	0.392256357031385	115.5	0.41319225474728566	0.41319225474728566	0.1707278393831458	1
[0, 1, 2, 3]	div(cos(lt(X0, X2)), add(mul(X1, X3), max(X1, X0)))	None	0.7500205905200795	0.6706493990254515	2	801.2502366601101	9969	0	4.0	1597.508718730331	4556	10000	473	499	1	0.7021608872666117	223.5	0.7500205905200795	0.7500205905200795	0.5625308862040888	1
[0, 1, 2, 3]	div(gt(div(X0, 4), max(X1, X0)), add(max(X3, X2), cos(X0)))	None	0.7236462280369613	0.6608322904633467	2	801.2502366601101	9969	0	4.0	1597.508718730331	4480	10000	465	499	1	0.6753974966725723	215.5	0.7236462280369613	0.7236462280369613	0.5236638633521218	1
[0, 1]	gt(lt(X1, X0), max(X0, 4))	None	0.7236462280369613	0.6608322904633467	1	801.2502366601101	9969	0	4.0	798.7543593651656	4480	10000	465	499	1	0.6753974966725723	215.5	0.7236462280369613	0.7236462280369613	0.5236638633521218	1
[1, 2, 3]	mul(sub(X3, X3), lt(X2, X1))	None	0.7236462280369613	0.6608322904633467	1	801.2502366601101	9969	0	4.0	798.7543593651656	4480	10000	465	499	1	0.6753974966725723	215.5	0.7236462280369613	0.7236462280369613	0.5236638633521218	1
[0, 3]	lt(div(X0, X0), cos(X3))	None	0.7236462280369613	0.6608322904633467	2	801.2502366601101	9969	0	4.0	1597.508718730331	4480	10000	465	499	1	0.6753974966725723	215.5	0.7236462280369613	0.7236462280369613	0.5236638633521218	1
[0, 2, 3]	lt(sub(gt(X2, X0), div(-2, X3)), neg(div(X2, X0)))	None	0.6772528368397811	0.6419137979550034	1	801.2502366601101	9969	0	4.0	798.7543593651656	4527	10000	460	499	1	0.6186880603683712	210.5	0.6772528368397811	0.6772528368397811	0.4586714050075312	1
[0, 2]	lt(add(max(4, X0), neg(X0)), lt(neg(X2), lt(4, X0)))	None	0.7236462280369613	0.6608322904633467	1	801.2502366601101	9969	0	4.0	798.7543593651656	4480	10000	465	499	1	0.6753974966725723	215.5	0.7236462280369613	0.7236462280369613	0.5236638633521218	1
[0, 3]	gt(neg(max(X0, X3)), add(mul(1, 1), sin(1)))	None	0.7236462280369613	0.6608322904633467	1	801.2502366601101	9969	0	4.0	798.7543593651656	4480	10000	465	499	1	0.6753974966725723	215.5	0.7236462280369613	0.7236462280369613	0.5236638633521218	1
[2, 3]	lt(cos(max(X2, X3)), neg(max(X2, X2)))	None	0.5832244902698762	0.608728082046513	2	801.2502366601101	9969	0	4.0	1597.508718730331	3969	10000	449	499	1	0.5024645134153894	199.5	0.5832244902698762	0.5832244902698762	0.3401508060505569	1
[3]	cos(cos(neg(X3)))	None	0.23342854718845954	0.537890808224	1	801.2502366601101	9955	0	4.0	798.7543593651656	4776	10000	331	499	1	0.18975950146255824	81.5	0.23342854718845954	0.23342854718845954	0.05448888664251488	1
[0, 1, 2, 3]	div(sub(sub(X3, X0), max(2, X2)), sub(gt(X3, X3), add(2, X1)))	None	0.16806151557415028	0.5017650846122097	1	801.2502366601101	9921	0	4.0	798.7543593651656	4611	10000	355	499	1	0.008944928076703018	105.5	0.16806151557415028	0.16806151557415028	0.028244673017080356	1
[0, 3]	sin(sub(lt(-2, X0), gt(X3, X3)))	None	0.1558103272450031	0.5212622264985352	1	801.2502366601101	9955	0	4.0	798.7543593651656	4579	10000	312	499	1	0.1073493700610553	62.5	0.1558103272450031	0.1558103272450031	0.024276858076194955	1
[0, 2, 3]	lt(add(X0, 1), div(X3, X2))	None	0.6591757848036056	0.6323938714528707	2	801.2502366601101	9969	0	4.0	1597.508718730331	4769	10000	466	499	1	0.5875371158474487	216.5	0.6591757848036056	0.6591757848036056	0.43451271527144936	1
[1, 2]	sin(max(lt(X2, X1), X1))	None	0.1473077849387573	0.5152385428389805	1	801.2502366601101	9955	0	4.0	798.7543593651656	4638	10000	318	499	1	0.07707734890676436	68.5	0.1473077849387573	0.1473077849387573	0.02169958350356317	1
