Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[2, 5]	lt(sin(X5), mul(X5, X2))	None	0.2126299516277012	0.5294435736677112	2	394.87469672847953	4990	0	6.0	915.5756676195291	2844	5000	375	638	1	0.14814649732586038	56.0	0.2126299516277012	0.2126299516277012	0.045211496329198554	1
[3]	cos(mul(X3, -5))	None	0.11550028687818095	0.3257437324843683	1	394.87469672847953	4990	0	6.0	457.78783380976455	2828	5000	371	638	1	0.001650814533396586	52.0	0.11550028687818095	0.11550028687818095	0.013340316268942099	1
[0, 2, 3]	gt(mul(X0, X2), lt(X2, X3))	None	0.20651579649329146	0.5282366771159872	1	394.87469672847953	4990	0	6.0	457.78783380976455	2842	5000	374	638	1	0.14215559979006254	55.0	0.20651579649329146	0.20651579649329146	0.04264877420125857	1
[3, 4]	add(lt(X3, X4), cos(2))	None	0.11731535765964249	0.20347711741575103	1	394.87469672847953	4990	0	6.0	457.78783380976455	2826	5000	372	638	1	0.0010311884167538302	53.0	0.11731535765964249	0.11731535765964249	0.013762893142809837	1
[2, 4]	cos(neg(gt(X2, X4)))	None	0.20516144673243294	0.5278450891919442	1	394.87469672847953	4990	0	6.0	457.78783380976455	2838	5000	374	638	1	0.14020960113843173	55.0	0.20516144673243294	0.20516144673243294	0.04209121922534492	1
[3]	gt(neg(1), div(X3, X3))	None	0.19188174445259792	0.5251136363636366	1	394.87469672847953	4990	0	6.0	457.78783380976455	2830	5000	372	638	1	0.12660708249094604	53.0	0.19188174445259792	0.19188174445259792	0.03681860385417209	1
[2, 5]	lt(mul(4, X2), lt(X5, X2))	None	0.19188174445259792	0.5251136363636366	1	394.87469672847953	4990	0	6.0	457.78783380976455	2830	5000	372	638	1	0.12660708249094604	53.0	0.19188174445259792	0.19188174445259792	0.03681860385417209	1
[3, 5]	max(sin(X3), cos(X5))	None	0.11998103407754193	0.4255184042994009	1	394.87469672847953	4990	0	6.0	457.78783380976455	2834	5000	373	638	1	0.002156454467774955	54.0	0.11998103407754193	0.11998103407754193	0.014395448538316279	1
[0, 1, 5]	mul(mul(sub(X1, X1), div(X5, X0)), mul(cos(X1), neg(-1)))	None	0.19188174445259792	0.5251136363636366	1	394.87469672847953	4990	0	6.0	457.78783380976455	2830	5000	372	638	1	0.12660708249094604	53.0	0.19188174445259792	0.19188174445259792	0.03681860385417209	1
[0, 2, 5]	lt(sin(X2), add(X5, X0))	None	0.21268443422252875	0.5294592476489025	1	394.87469672847953	4990	0	6.0	457.78783380976455	2844	5000	375	638	1	0.14822423261913678	56.0	0.21268443422252875	0.21268443422252875	0.04523466856055716	1
[3]	neg(cos(cos(X3)))	None	0.11681237512074372	0.0	1	394.87469672847953	4990	0	6.0	457.78783380976455	2824	5000	372	638	1	0.0	53.0	0.11681237512074372	0.11681237512074372	0.013645130981349346	1
[0, 2, 5]	gt(add(X2, X0), mul(X5, X0))	None	0.20624448874389692	0.5281583072100311	1	394.87469672847953	4990	0	6.0	457.78783380976455	2843	5000	374	638	1	0.14176622512062462	55.0	0.20624448874389692	0.20624448874389692	0.042536789137231426	1
[0, 2, 3]	div(div(X3, X2), lt(X0, X2))	None	0.1976895270303253	0.5262391708258871	1	394.87469672847953	4990	0	6.0	457.78783380976455	2833	5000	373	638	1	0.1322181031341677	54.0	0.1976895270303253	0.1976895270303253	0.03908114909747372	1
