Explore_Iteration	MacroPopSize	MicroPopSize	Accuracy_Estimate	AveGenerality	ExpRules	Time(min)
100	994	1000	0.9459283203131903	0.8412631578947405	0.0	0.12617075045903522
200	983	1000	0.9505812885895175	0.8435789473684248	0.9643947100712106	0.22918644348780315
300	971	1000	0.9521330491039218	0.8464736842105298	0.96086508753862	0.29544180234273276
400	962	1000	0.9452166368913921	0.8472631578947402	0.9677754677754677	0.3578517993291219
500	951	1000	0.9463381178714801	0.8491578947368453	0.9652996845425867	0.4171588102976481
600	943	1000	0.9385837438865273	0.850526315789477	0.9628844114528102	0.47249533732732135
700	931	1000	0.944103781250136	0.8514736842105296	0.958109559613319	0.5273647507031759
800	923	1000	0.9168307745871465	0.8527894736842139	0.9577464788732394	0.5799319465955098
900	916	1000	0.9465346650493545	0.853578947368425	0.9661572052401747	0.6308058738708496
1000	910	1000	0.9312940397780851	0.8545263157894776	0.9615384615384616	0.679747732480367
1100	903	1000	0.9426659126436747	0.8541052631578988	0.9601328903654485	0.7269674817721049
1200	890	1000	0.9293544001618765	0.8555789473684248	0.9685393258426966	0.7719133377075196
1300	883	1000	0.9358752085998863	0.8557894736842145	0.9694224235560589	0.815409779548645
1400	871	1000	0.922699451962561	0.8560000000000043	0.9690011481056258	0.8589428623517354
1500	866	1000	0.9028138063144504	0.8567368421052678	0.9676674364896074	0.9011427640914917
1600	860	1000	0.9382049193516102	0.856789473684215	0.9662790697674418	0.941448966662089
1700	853	1000	0.8030625946003102	0.8562105263157946	0.9695193434935522	0.9800785819689433
1800	844	1000	0.4724901832579039	0.8570526315789527	0.9739336492890995	1.0195888876914978
1900	839	1000	0.7253706441803013	0.8572105263157949	0.9725864123957092	1.0556518157323203
2000	826	1000	0.7643048727789423	0.8576842105263212	0.9794188861985472	1.0923243403434753
2100	823	1000	0.8461664769210444	0.8583684210526373	0.9781287970838396	1.1268854816754659
2200	819	1000	0.7875726348558088	0.8583157894736901	0.9682539682539683	1.1612643480300904
2300	816	1000	0.8966430113744178	0.8586842105263216	0.9718137254901961	1.1954708576202393
2400	811	1000	0.951396429617183	0.8585789473684268	0.9765721331689272	1.2293816248575846
2500	807	1000	0.917760474000638	0.8586315789473736	0.9814126394052045	1.2639931281407675
2600	801	1000	0.9048916459601841	0.8587368421052683	0.9812734082397003	1.2979335983594258
2700	798	1000	0.8923311637597096	0.8582631578947422	0.974937343358396	1.3315874457359314
2800	797	1000	0.9426245341996659	0.8584736842105319	0.9761606022584692	1.3647878487904868
2900	793	1000	0.9362391965740285	0.8581578947368479	0.9735182849936949	1.39848393201828
3000	798	1000	0.8390200935753139	0.8582105263157956	0.9736842105263158	1.4332416494687399
3100	794	1000	0.8187613071295824	0.8590526315789538	0.9760705289672544	1.4678855975468954
3200	793	1000	0.8962917465693182	0.8588421052631648	0.9722572509457755	1.5032780726750692
3300	790	1000	0.9101556682535583	0.859000000000007	0.9772151898734177	1.5378474156061808
3400	790	1000	0.823031812315948	0.8586842105263224	0.9822784810126582	1.5735143621762593
3500	791	1000	0.8719508028851477	0.8585263157894805	0.9734513274336283	1.608635703722636
3600	786	1000	0.820860586358724	0.8587894736842165	0.9770992366412213	1.6441503008206686
3700	785	1000	0.9534856813447808	0.8588421052631643	0.975796178343949	1.6797227342923482
3800	777	1000	0.8955496543333744	0.8593157894736903	0.9832689832689833	1.7151873151461283
3900	770	1000	0.9283358414496332	0.8595263157894796	0.9857142857142858	1.7508054534594217
4000	775	1000	0.8105539445137565	0.8595263157894797	0.9780645161290322	1.7863007227579752
4100	771	1000	0.9508917823597232	0.8601578947368481	0.9675745784695201	1.8242734909057616
4200	764	1000	0.7996259674321745	0.8600526315789532	0.9882198952879581	1.8611949324607848
4300	766	1000	0.8140706720605422	0.859631578947374	0.9843342036553525	1.8987058997154236
4400	766	1000	0.9557614188874487	0.8596842105263212	0.9804177545691906	1.9357308228810628
4500	763	1000	0.9508082405193444	0.8593157894736896	0.981651376146789	1.9739293694496154
4600	762	1000	0.9682150504597392	0.8588947368421107	0.9803149606299213	2.011361082394918
4700	767	1000	0.9334699071311569	0.858631578947374	0.9778357235984355	2.049216890335083
4800	768	1000	0.8452854162814296	0.8583157894736902	0.97265625	2.0880807042121887
4900	764	1000	0.8472054651681167	0.8579473684210589	0.975130890052356	2.1278087576230367
5000	765	1000	0.9467488315290085	0.8571578947368486	0.9764705882352941	2.1683185855547586
5100	768	1000	0.9410655294163617	0.8566842105263222	0.9700520833333334	2.2876598040262857
5200	766	1000	0.8754458689483493	0.8567368421052697	0.9804177545691906	2.327848958969116
5300	767	1000	0.8311082946917785	0.8572105263157962	0.9765319426336375	2.36780477364858
5400	769	1000	0.9110365818058562	0.8568421052631645	0.976592977893368	2.407492915789286
5500	768	1000	0.8286890156609068	0.8572105263157963	0.9765625	2.4470479051272074
5600	767	1000	0.6995371720610134	0.8572105263157961	0.9804432855280313	2.4866526405016582
5700	768	1000	0.8858979091424404	0.857105263157901	0.9830729166666666	2.5279423356056214
5800	765	1000	0.79627447183664	0.8574210526315852	0.984313725490196	2.5701412359873452
5900	766	1000	0.7060654298113133	0.8576842105263219	0.9830287206266318	2.61281658411026
6000	766	1000	0.45375132746503266	0.8573157894736908	0.9765013054830287	2.6540395458539328
6100	763	1000	0.8883373507196444	0.8574210526315853	0.9750982961992136	2.6957629839579265
6200	762	1000	0.7105735924208286	0.8570526315789538	0.979002624671916	2.7366525570551556
6300	759	1000	0.6909542007448117	0.8565263157894798	0.9855072463768116	2.7774590531984966
6400	754	1000	0.9470892157047132	0.8553157894736906	0.9840848806366048	2.81783119837443
6500	751	1000	0.9002095698692281	0.8555789473684278	0.9800266311584553	2.8590875188509624
6600	751	1000	0.9542755794608969	0.8552105263157961	0.9800266311584553	2.900777598222097
6700	759	1000	0.8724467143739618	0.8550526315789541	0.9696969696969697	2.94331849416097
6800	757	1000	0.9466372288248445	0.8551578947368487	0.9762219286657859	2.9859594821929933
6900	758	1000	0.8447974651807588	0.8551052631579014	0.978891820580475	3.0283759156862895
7000	755	1000	0.720764183882018	0.8554210526315855	0.9814569536423841	3.0705664714177447
7100	749	1000	0.8100690533738066	0.8558421052631643	0.9853137516688919	3.113499410947164
7200	752	1000	0.8998176321480292	0.8552631578947432	0.9827127659574468	3.1570836385091146
7300	754	1000	0.8738298548568079	0.8554736842105327	0.9734748010610079	3.201092612743378
7400	748	1000	0.7042098887885392	0.8546842105263222	0.9812834224598931	3.24494309425354
7500	749	1000	0.8126235951462156	0.8542631578947435	0.9879839786381842	3.288702666759491
7600	753	1000	0.7108652245791586	0.8539473684210592	0.9814077025232404	3.333387287457784
7700	755	1000	0.8885297815622405	0.854473684210533	0.9748344370860927	3.3779642462730406
7800	754	1000	0.9421664622911287	0.8547894736842175	0.9761273209549072	3.422999207178752
7900	750	1000	0.9101259421499447	0.8546315789473753	0.98	3.469585657119751
8000	748	1000	0.944541322077095	0.8549473684210592	0.9812834224598931	3.5165156960487365
8100	753	1000	0.8990462043486954	0.8548947368421117	0.9721115537848606	3.5625805377960207
8200	749	1000	0.7226390764227782	0.8548947368421118	0.9853137516688919	3.608559020360311
8300	748	1000	0.7264330701418049	0.8552631578947432	0.9879679144385026	3.6540175596872966
8400	746	1000	0.9575558757668233	0.8552631578947434	0.9865951742627346	3.699542764822642
8500	740	1000	0.3542661612941036	0.8559473684210587	0.9878378378378379	3.745412031809489
8600	746	1000	0.8175992346150296	0.8555789473684272	0.9798927613941019	3.791146687666575
8700	739	1000	0.8206328935020124	0.8554736842105324	0.9851150202976996	3.837092387676239
8800	737	1000	0.893774963750661	0.8554210526315847	0.9769335142469471	3.88375270764033
8900	736	1000	0.9298903266642549	0.8557368421052688	0.9823369565217391	3.92912921110789
9000	743	1000	0.8708852084030826	0.8555263157894795	0.9771197846567967	3.9740718444188436
9100	742	1000	0.8675176599932461	0.8555263157894797	0.9757412398921833	4.01975462436676
9200	747	1000	0.9381207254605648	0.8553684210526377	0.9772423025435074	4.066355216503143
9300	748	1000	0.9503930779472526	0.855578947368427	0.9732620320855615	4.114857796827952
