Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[3, 4, 7, 8, 15, 17, 18]	add(add(mul(X18, X4), max(X17, X8)), gt(max(X15, X7), gt(X7, X3)))	None	1.0	0.9611111111111111	1	596.8668654868735	9990	0	19.0	606.4968324815744	9646	10000	180	180	1	0.9936143845194092	90.0	1.0	1.0	1.0	1
[16, 17, 6]	add(mul(X17, X16), cos(X6))	None	0.35652398001006425	0.5709693717675106	1	596.8668654868735	9990	0	19.0	606.4968324815744	4396	10000	124	180	1	0.34528889232378634	34.0	0.35652398001006425	0.35652398001006425	0.12710934832221668	1
[1, 7, 8, 13, 15]	sub(max(add(3, X7), X8), div(sin(X1), sub(X15, X13)))	None	0.3589628666625065	0.5641409427732982	1	596.8668654868735	9990	0	19.0	606.4968324815744	2629	10000	131	180	1	0.31435180785991834	41.0	0.3589628666625065	0.3589628666625065	0.1288543396425644	1
[17, 15]	div(neg(X17), neg(X15))	None	0.3494807700307884	0.5715277777777779	1	596.8668654868735	9990	0	19.0	606.4968324815744	4038	10000	120	180	1	0.3477879968354243	30.0	0.3494807700307884	0.3494807700307884	0.12213680862131282	1
[5]	neg(neg(max(3, X5)))	None	0.24531705272567322	0.5357928240740738	1	596.8668654868735	9990	0	19.0	606.4968324815744	2532	10000	124	180	1	0.179480121821003	34.0	0.24531705272567322	0.24531705272567322	0.06018045635801074	1
[0, 1, 5, 10, 17]	max(sub(max(X10, X17), max(-2, X1)), max(neg(X5), mul(X0, X0)))	None	0.9865240162331548	0.8738715277777778	1	596.8668654868735	9990	0	19.0	606.4968324815744	6426	10000	180	180	1	0.9664727690225693	90.0	0.9865240162331548	0.9865240162331548	0.9732296346047938	1
[17, 10, 5, 14]	add(mul(X17, X14), mul(X5, X10))	None	0.5370021668946903	0.6137152777777778	5	596.8668654868735	9977	0	19.0	3032.484162407872	5782	10000	141	180	1	0.5212908481091463	51.0	0.5370021668946903	0.5370021668946903	0.2883713272495928	1
[3, 5, 6, 15]	max(add(sub(X5, -3), max(X15, 3)), neg(lt(X6, X3)))	None	0.8043466235497189	0.7076967592592591	3	596.8668654868735	9925	0	19.0	1819.4904974447231	2997	10000	165	180	1	0.7878343417230108	75.0	0.8043466235497189	0.8043466235497189	0.6469734908158331	1
[17, 6]	[[-1.9535, 3.9535], '0']	[-2.3760000000000003, 8.376000000000001]	0.9803517656640883	0.8878787878787879	1	566.0997675732657	9977	0	0.10526315789473684	566.1247094665821	557	557	11	11	1	0.9778266115367681	6.294444444444444	0.9803517656640883	0.9803517656640883	0.9610895844406956	1
[17, 6]	[[6.125, 15.075], '0']	[6.183999999999999, 15.016]	0.9705500692435581	0.870202850877193	2	606.5179367319595	9968	0	0.10526315789473684	1213.035873463919	1945	2001	37	38	1	0.9667106138263004	18.633333333333333	0.9705500692435581	0.9705500692435581	0.9419674369086755	1
[17]	[[-0.9165000000000001, 3.9165]]	[-1.956, 4.9559999999999995]	0.9983400553021909	0.9461223958333334	1	587.1459589447996	9990	0	0.05263157894736842	592.1655608512494	2169	2169	40	40	1	0.9942434000486514	30.22222222222222	0.9983400553021909	0.9983400553021909	0.9966828660207817	1
[17]	[[13.951500000000001, 21.6485]]	[14.920000000000002, 20.68]	0.978621617556104	0.8292410714285714	1	573.5124965441938	9938	0	0.05263157894736842	576.2822198128785	2002	2279	37	42	1	0.9746195338042175	28.6	0.978621617556104	0.978621617556104	0.9577002703481254	1
[17, 6, 13]	[[7.8885, 14.511499999999998], '0', '0']	[8.552, 15.847999999999999]	0.9925438002250685	0.9401041666666667	2	609.6059227342139	9968	0	0.15789473684210525	1219.2118454684278	280	280	6	6	1	0.9908879121608821	3.466666666666667	0.9925438002250685	0.9925438002250685	0.9851431953652207	1
[17]	[[10.599, 17.401]]	[11.408, 16.592]	0.9018551718725906	0.6905193236714976	1	588.4263966613972	9968	0	0.05263157894736842	594.0359309792915	2830	3828	51	69	1	0.8981093896183481	30.683333333333334	0.9018551718725906	0.9018551718725906	0.8133427510333399	1
