InstanceID	N1	X	N2	Class
31	2625.8404866745673	5248.345231444022	2074.0755853261153	58.0
432	2216.660597141646	4267.026956761035	1527.8933933077844	134.0
200	1815.8550801547442	3890.008467753054	1747.1822563846097	8.0
23	2410.9210145742936	4597.387640849558	1733.980888957165	98.0
348	1587.517484143907	3913.263451940895	1772.8502922554	12.0
89	1280.8751463499025	3071.896374361638	992.4119853244149	176.0
318	1944.9119955179783	3808.4420964392966	1492.0826736665742	162.0
3	2177.6918770455472	4859.546261389324	1958.599229030109	46.0
261	2264.469752588028	4290.156682696604	1619.5740861829547	130.0
354	2019.952265437084	4387.285210186812	1798.230021724275	84.0
305	1951.9012389374236	3962.1139817545904	1870.7526360715158	2.0
208	1656.7725248634938	3614.956082437985	1203.6098454120522	162.0
350	2107.685179035934	3946.843601222788	1456.0555786293178	166.0
414	1329.9318368108468	3569.7480894735027	1505.2759202519549	12.0
375	1797.3210464375109	3556.5656575347566	1283.6705431085888	168.0
202	2554.9784410533707	5202.194559421731	2048.2631773776243	54.0
347	1571.1154096720695	3382.1458421831394	1127.486290810635	174.0
269	2291.3606736887546	4493.407783639235	1583.0382552779092	116.0
67	2241.6470865262268	4545.185914854554	1682.2392640341586	122.0
215	2174.6089027254743	4586.503306290898	1794.0687956142117	68.0
379	2543.0264840771356	4770.6194299769	1897.2026649753184	84.0
405	1372.820048230761	3543.331142601958	1204.0692342186378	132.0
429	1369.3471315768304	2647.0385637339123	1012.368052017349	198.0
406	2012.5598450053672	3785.462181970062	1403.8970469310193	172.0
210	1820.5922427720805	3365.183352425915	1309.850464092431	182.0
336	1802.3720634155682	3349.95897030551	1309.67574853885	186.0
358	2312.385328371717	4753.566397995775	1896.2612945477792	70.0
225	2530.6889271448226	4900.231498842498	1900.840121896246	114.0
197	1137.6707540358432	2438.883725110371	936.5092549715979	200.0
80	1285.2132737647262	3229.8606333589573	1048.62623432247	176.0
50	1799.3235783465982	3169.0450021812067	1306.4619757341827	196.0
219	1711.3570250988455	4110.344096782204	1661.6983295512514	128.0
214	1859.251292747946	4340.582096543091	1848.1646100148089	22.0
29	1798.2661011622886	4056.736049816619	1661.6757145032718	122.0
133	1744.8132502399415	2929.91596377442	1222.3832656466477	200.0
279	2190.1985041157595	4562.49670185309	1738.6527596269852	92.0
179	2435.1611654104113	4851.754042822848	2311.592100241962	30.0
39	2237.1181325533653	4657.13848934231	1708.171153792535	114.0
183	1281.2261825315516	3360.693670199749	1038.5322738759603	142.0
227	1935.3466370494687	3913.124711842006	1425.158053726561	158.0
93	1665.2093983401624	4228.613710259465	1782.9102609110926	66.0
47	1691.8508687366732	4176.09959567147	1694.7380238953963	72.0
38	1127.6922813068113	3371.3376909816893	1460.1330157650066	6.0
223	2410.00581417471	4630.110884507065	1712.6054880147558	116.0
292	2263.7793406387145	4452.962305679913	2093.10614781557	20.0
395	1170.247937707421	2857.371114296584	870.3970488404683	180.0
423	2087.4042609331264	4520.107395365217	1934.754479406452	42.0
59	1710.4275580930466	4378.0475678985895	1625.02102181934	50.0
149	1346.4047867679228	3414.13754919958	1109.5146799119186	158.0
63	2079.333151918413	4549.713935336963	1707.9622698880087	106.0
326	2506.3127729945386	4795.447775985658	1879.562956660116	96.0
430	1335.0701091951728	3954.2341197021988	1652.3511110808251	30.0
128	2096.276902742655	4230.706425801136	1434.9283802942853	122.0
45	1807.16642776514	3955.779221296044	1305.6877317146561	152.0
158	1586.5012499207623	3916.095338202062	1353.5247340573715	120.0
153	1797.966050578576	3518.709832600291	1200.5392181671402	176.0
103	2249.4745248581908	4748.156736420721	1839.3745176056173	38.0
121	1976.5933512721313	4460.991788780055	1943.7395415781166	24.0
285	2042.19671278758	3941.193262514166	1386.301113166156	132.0
154	2120.14792985519	4147.295581725155	1487.42348878717	156.0
252	2252.08961912297	4390.814740253322	1680.040927309112	128.0
84	1504.709878676576	4062.264392250204	1668.5630501698847	30.0
247	2577.914940442275	5014.428732702217	2119.7190622727458	64.0
