Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[0, 1, 2]	mul(add(sub(X0, -4), mul(X1, X1)), mul(sub(X2, X0), sub(X1, X1)))	None	0.05858601833273435	0.0	1	551.4961059489842	4970	0	3.0	551.4961059489842	1678	5000	254	444	1	0.0	32.0	0.05858601833273435	0.05858601833273435	0.0034323215440834856	1
[1, 2]	add(sub(X1, 1), mul(X2, X2))	None	0.9320079100572137	0.8000955500955499	2	551.4961059489842	4981	0	3.0	1102.9922118979684	4205	5000	442	444	1	0.9175161465849919	220.0	0.9320079100572137	0.9320079100572137	0.8686387444092154	1
[1, 2]	div(mul(X1, X2), div(X1, 3))	None	0.12070091367281727	0.45406770406770425	1	551.4961059489842	4970	0	3.0	551.4961059489842	2136	5000	289	444	1	0.0023011369527396563	67.0	0.12070091367281727	0.12070091367281727	0.014568710561452886	1
[0, 1, 2]	add(sub(X0, X2), add(X1, 2))	None	0.9539504305466244	0.8339930839930838	4	551.4961059489842	4993	0	3.0	2205.984423795937	4513	5000	443	444	1	0.9441857008740437	221.0	0.9539504305466244	0.9539504305466244	0.9100214239400901	1
[0, 1]	sub(div(X1, 5), div(X1, X0))	None	0.09814675776325328	0.3393008345157763	1	551.4961059489842	4970	0	3.0	551.4961059489842	1880	5000	276	444	1	0.0017195195206245384	54.0	0.09814675776325328	0.09814675776325328	0.009632786059438719	1
[0, 1]	mul(div(4, X0), add(4, X1))	None	0.09443281691863697	0.23048422905630928	1	551.4961059489842	4970	0	3.0	551.4961059489842	1824	5000	274	444	1	0.00116805588290752	52.0	0.09443281691863697	0.09443281691863697	0.00891755691118881	1
[2]	add(div(1, 1), div(X2, X2))	None	0.07196028661522649	0.4061789061789052	1	551.4961059489842	4970	0	3.0	551.4961059489842	1741	5000	261	444	1	0.002058445476153772	39.0	0.07196028661522649	0.07196028661522649	0.005178282849745545	1
[0, 1, 2]	div(div(add(X1, -4), add(X2, X1)), mul(sub(-4, 5), sub(X0, -4)))	None	0.05858601833273435	0.0	1	551.4961059489842	4970	0	3.0	551.4961059489842	1678	5000	254	444	1	0.0	32.0	0.05858601833273435	0.05858601833273435	0.0034323215440834856	1
[0, 1, 2]	add(div(div(X0, X2), div(X0, X1)), sub(add(2, X0), sub(2, X2)))	None	0.8349818127189674	0.7204393666845322	2	551.4961059489842	4993	0	3.0	1102.9922118979684	3613	5000	422	444	1	0.8121580461578041	200.0	0.8349818127189674	0.8349818127189674	0.6971946275714528	1
[0]	add(div(-1, X0), mul(-1, -4))	None	0.07374872925695157	0.41252132878454806	1	551.4961059489842	4970	0	3.0	551.4961059489842	1794	5000	262	444	1	0.002090587702591705	40.0	0.07374872925695157	0.07374872925695157	0.0054388750670151444	1
[0, 2]	add(add(add(X2, X2), 0), add(X0, 0))	None	0.6939806869730464	0.6549504049504051	2	551.4961059489842	4993	0	3.0	1102.9922118979684	3159	5000	397	444	1	0.6584986458087883	175.0	0.6939806869730464	0.6939806869730464	0.4816091938915814	1
[0, 2]	sub(mul(5, X2), div(X0, 5))	None	0.11369579957340599	0.3649786149786146	1	551.4961059489842	4970	0	3.0	551.4961059489842	2110	5000	285	444	1	0.0018496499113620172	63.0	0.11369579957340599	0.11369579957340599	0.012926734840636106	1
[1, 2]	add(add(X1, X1), mul(4, X2))	None	0.9638134978070813	0.8100373100373093	2	551.4961059489842	4999	0	3.0	1102.9922118979684	4998	5000	444	444	1	0.9262142932998471	222.0	0.9638134978070813	0.9638134978070813	0.9289364585551206	1
[0]	add(sub(X0, 1), mul(1, 1))	None	0.6242385551361526	0.630653380653381	1	551.4961059489842	4993	0	3.0	551.4961059489842	2973	5000	385	444	1	0.5816509223416189	163.0	0.6242385551361526	0.6242385551361526	0.3896737737184714	1
