Specified	Condition	Phenotype	Fitness	Accuracy	Numerosity	AveMatchSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	CorrectCount	MatchCount	CorrectCover	MatchCover	EpochComplete	AccuracyComp	CoverDiff	IndFitness	Fitness	GlobalFitness	TotalFreq
[1, 2]	add(sub(X1, 1), mul(X2, X2))	None	0.9320079100572137	0.8000955500955499	1	623.5984761495786	9972	0	3.0	625.4130119238586	6927	10000	442	444	1	0.9175161465849919	220.0	0.9320079100572137	0.9320079100572137	0.8686387444092154	1
[0, 1, 2]	add(sub(X0, X2), add(X1, 2))	None	0.9539504305466244	0.8339930839930838	2	623.5984761495786	9972	0	3.0	1250.8260238477171	7727	10000	443	444	1	0.9441857008740437	221.0	0.9539504305466244	0.9539504305466244	0.9100214239400901	1
[1, 2]	add(add(X1, X1), mul(4, X2))	None	0.9638134978070813	0.8100373100373093	2	623.5984761495786	9986	0	3.0	1250.8260238477171	9479	10000	444	444	1	0.9262142932998471	222.0	0.9638134978070813	0.9638134978070813	0.9289364585551206	1
[0, 1]	mul(add(add(X1, X0), add(4, 4)), div(mul(-2, -2), mul(-2, -2)))	None	0.9478347792500206	0.8237783237783234	1	623.5984761495786	9972	0	3.0	625.4130119238586	7573	10000	442	444	1	0.9370057406627232	220.0	0.9478347792500206	0.9478347792500206	0.8983907687559353	1
[0, 1]	add(add(X0, 3), div(X1, X1))	None	0.6521462284315297	0.6403562653562653	1	623.5984761495786	9972	0	3.0	625.4130119238586	4743	10000	389	444	1	0.613712207229304	167.0	0.6521462284315297	0.6521462284315297	0.42529470325746893	1
[1]	sub(sub(add(X1, 3), 3), sub(div(3, -4), -4))	None	0.8767693016481924	0.6829044954044956	2	623.5984761495786	9972	0	3.0	1250.8260238477171	5175	10000	444	444	1	0.7331090073294333	222.0	0.8767693016481924	0.8767693016481924	0.7687244083126591	1
[1, 2]	add(div(add(X1, -3), div(-3, -3)), div(-3, X2))	None	0.8738994883143684	0.680084088417422	2	623.5984761495786	9972	0	3.0	1250.8260238477171	5108	10000	444	444	1	0.7262235408980104	222.0	0.8738994883143684	0.8738994883143684	0.7637003156761148	1
[1, 2]	div(add(sub(4, X1), div(5, X2)), mul(sub(4, 5), div(4, 4)))	None	0.8440886705334338	0.6527130485463819	2	623.5984761495786	9972	0	3.0	1250.8260238477171	4920	10000	444	444	1	0.651898279985356	222.0	0.8440886705334338	0.8440886705334338	0.7124856837228998	1
[0, 1, 2]	add(mul(sub(1, -5), div(X2, -5)), add(sub(X1, -5), sub(X0, -5)))	None	0.9483723017163146	0.8246792246792247	2	623.5984761495786	9972	0	3.0	1250.8260238477171	7674	10000	442	444	1	0.9376666772530786	220.0	0.9483723017163146	0.9483723017163146	0.8994100226627004	1
[0, 2]	add(div(X0, X2), add(X2, X0))	None	0.682069331414654	0.6520716558911006	2	623.5984761495786	9972	0	3.0	1250.8260238477171	4939	10000	392	444	1	0.6499884988507966	170.0	0.682069331414654	0.682069331414654	0.4652185728564331	1
[0, 1]	add(div(X0, 5), mul(2, X1))	None	0.9844218213191068	0.8785854035854035	2	623.5984761495786	9986	0	3.0	1250.8260238477171	10000	10000	444	444	1	0.9685931264371359	222.0	0.9844218213191068	0.9844218213191068	0.9690863222892275	1
[0, 1, 2]	add(div(div(X1, X0), sub(X1, -2)), add(div(X0, X2), sub(X0, -2)))	None	0.6562590424212558	0.6436527402648309	1	623.5984761495786	9972	0	3.0	625.4130119238586	4868	10000	386	444	1	0.6241878398524094	164.0	0.6562590424212558	0.6562590424212558	0.4306759307596636	1
[0]	sub(mul(4, 4), mul(-1, X0))	None	0.7342436615976138	0.6702725452725455	1	623.5984761495786	9972	0	3.0	625.4130119238586	4981	10000	405	444	1	0.701166322500032	183.0	0.7342436615976138	0.7342436615976138	0.5391137545962712	1
[1, 2]	add(div(add(X2, -3), -3), sub(add(X1, X2), mul(-3, -3)))	None	0.8587193903907404	0.6657604574271243	2	623.5984761495786	9972	0	3.0	1250.8260238477171	5026	10000	444	444	1	0.6890558633871626	222.0	0.8587193903907404	0.8587193903907404	0.7373989914330449	1
[1, 2]	sub(sub(X1, X2), mul(0, X1))	None	0.8661560474751153	0.6726612976612978	2	623.5984761495786	9972	0	3.0	1250.8260238477171	4978	10000	444	444	1	0.7074267433152382	222.0	0.8661560474751153	0.8661560474751153	0.7502262985777143	1
[2]	mul(mul(2, 2), mul(2, X2))	None	0.3956083145456696	0.5645645645645637	1	623.5984761495786	9972	0	3.0	625.4130119238586	4403	10000	350	444	1	0.31629087354863766	128.0	0.3956083145456696	0.3956083145456696	0.15650593853766545	1
[0, 1, 2]	add(add(X1, -3), div(X2, X0))	None	0.8849912585932379	0.6912207893517361	1	623.5984761495786	9972	0	3.0	625.4130119238586	5211	10000	444	444	1	0.7526081686875037	222.0	0.8849912585932379	0.8849912585932379	0.7832095277864433	1
[1]	add(add(2, -1), add(X1, X1))	None	0.9989878636817859	0.9859859859859859	2	623.5984761495786	9986	0	3.0	1250.8260238477171	10000	10000	444	444	1	0.9979747008666557	222.0	0.9989878636817859	0.9989878636817859	0.9979767517834985	1
[0, 1, 2]	add(sub(sub(0, X2), div(X2, X0)), add(div(X0, X1), X0))	None	0.529080758578709	0.6000038722459291	1	623.5984761495786	9972	0	3.0	625.4130119238586	4342	10000	373	444	1	0.46840227694396946	151.0	0.529080758578709	0.529080758578709	0.2799264490982221	1
[0, 1, 2]	sub(add(add(X1, X1), X2), div(X0, sub(X0, 0)))	None	0.99576095954813	0.9509509509509506	3	623.5984761495786	9986	0	3.0	1876.2390357715758	10000	10000	444	444	1	0.9915037958189071	222.0	0.99576095954813	0.99576095954813	0.9915398885602127	1
[0, 1, 2]	add(add(5, X0), div(X1, X2))	None	0.8291299150373	0.7176348787459894	3	623.5984761495786	9972	0	3.0	1876.2390357715758	5666	10000	420	444	1	0.8070132942162971	198.0	0.8291299150373	0.8291299150373	0.6874564160097604	1
[0, 1, 2]	add(sub(add(1, -3), div(X0, X2)), add(X2, add(X1, 1)))	None	0.48033127374882745	0.5669066207260651	1	623.5984761495786	9972	0	3.0	625.4130119238586	4352	10000	415	444	1	0.3269647240391938	193.0	0.48033127374882745	0.48033127374882745	0.23071813254117102	1
[0, 1, 2]	sub(sub(add(X1, X0), div(X1, -2)), sub(sub(X1, X2), sub(X0, X0)))	None	0.8989030858941647	0.7643950768950769	2	623.5984761495786	9972	0	3.0	1250.8260238477171	6395	10000	437	444	1	0.8790409178724856	215.0	0.8989030858941647	0.8989030858941647	0.808026757830052	1
[0, 1]	add(sub(X0, 4), div(X1, 3))	None	0.8156745324104796	0.70843191676525	2	623.5984761495786	9972	0	3.0	1250.8260238477171	5499	10000	420	444	1	0.7893048325816284	198.0	0.8156745324104796	0.8156745324104796	0.6653249428230545	1
[1]	add(sub(add(-5, X1), add(-5, -2)), div(-2, -5))	None	0.9329038905233917	0.7505642005642007	3	623.5984761495786	9972	0	3.0	1876.2390357715758	5750	10000	444	444	1	0.860592434262517	222.0	0.9329038905233917	0.9329038905233917	0.8703096689536804	1
[0, 1, 2]	add(sub(X2, X2), add(X0, X1))	None	0.9539130773989715	0.8339248339248337	2	623.5984761495786	9972	0	3.0	1250.8260238477171	7713	10000	443	444	1	0.9441399540625091	221.0	0.9539130773989715	0.9539130773989715	0.9099501592327761	1
[1, 2]	add(sub(div(X1, X1), div(5, 5)), add(div(X1, X2), add(X2, X1)))	None	0.9741285698637384	0.8391368686507574	5	623.5984761495786	9972	0	3.0	3127.0650596192927	7821	10000	444	444	1	0.9475510230337449	222.0	0.9741285698637384	0.9741285698637384	0.9489264706247723	1
[1, 2]	div(add(add(0, X1), X2), div(sub(X1, X2), mul(0, X1)))	None	0.9404274367504971	0.7626376376376376	2	623.5984761495786	9972	0	3.0	1250.8260238477171	6015	10000	444	444	1	0.8768167012487759	222.0	0.9404274367504971	0.9404274367504971	0.8844037637931103	1
[0]	add(sub(X0, 3), sub(X0, X0))	None	0.5887467862327161	0.6198698698698697	2	623.5984761495786	9972	0	3.0	1250.8260238477171	4543	10000	378	444	1	0.5438664508470562	156.0	0.5887467862327161	0.5887467862327161	0.34662277829935156	1
[1]	add(add(4, 4), add(-2, X1))	None	0.9433775985078736	0.7676995176995175	1	623.5984761495786	9972	0	3.0	625.4130119238586	6117	10000	444	444	1	0.8831322589145673	222.0	0.9433775985078736	0.9433775985078736	0.8899612933664828	1
[1]	mul(add(-5, X1), div(-5, -5))	None	0.8494330392274247	0.6574074074074077	2	623.5984761495786	9972	0	3.0	1250.8260238477171	4983	10000	444	444	1	0.6656372707897086	222.0	0.8494330392274247	0.8494330392274247	0.7215364881311397	1
[0, 1]	div(mul(div(X1, 5), sub(X0, 5)), sub(5, sub(X0, X0)))	None	0.7335945231739535	0.6668855218855219	2	623.5984761495786	9972	0	3.0	1250.8260238477171	6363	10000	411	444	1	0.6921106516757867	189.0	0.7335945231739535	0.7335945231739535	0.5381609244308201	1
[0, 2]	sub(add(X2, X0), div(-2, X0))	None	0.6721782874066716	0.6465944070501654	2	623.5984761495786	9972	0	3.0	1250.8260238477171	4782	10000	394	444	1	0.6333581874889849	172.0	0.6721782874066716	0.6721782874066716	0.45182365006096603	1
[1, 2]	add(add(sub(X1, X2), div(-2, X1)), mul(div(-2, X1), add(4, X1)))	None	0.802733415020516	0.618077059384954	1	623.5984761495786	9972	0	3.0	625.4130119238586	4724	10000	444	444	1	0.5373656773398061	222.0	0.802733415020516	0.802733415020516	0.6443809355904999	1
[1, 2]	add(mul(X2, 5), sub(X1, X1))	None	0.16135324335713228	0.5001365001365004	1	623.5984761495786	9972	0	3.0	625.4130119238586	3847	10000	314	444	1	0.0006917602733005966	92.0	0.16135324335713228	0.16135324335713228	0.02603486914186595	1
